Geneid,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0031081,7,5,16,6
FBgn0052826,856,773,1070,875
FBgn0031085,4,4,1,3
FBgn0062565,25,44,22,49
FBgn0031088,12,7,6,6
FBgn0041626,4,3,4,7
FBgn0040784,4,4,3,8
FBgn0031086,5,7,4,8
FBgn0031082,4,2,1,2
FBgn0031080,7,0,5,1
FBgn0052821,0,0,0,0
FBgn0053217,580,400,518,392
FBgn0052350,377,345,434,444
FBgn0024733,2410,2126,2668,2268
FBgn0040372,742,1042,878,1085
FBgn0000316,166,218,233,237
FBgn0024989,110,127,106,147
FBgn0040371,28,34,30,26
FBgn0029521,15,28,28,25
FBgn0004034,216,391,303,478
FBgn0000022,6,10,7,13
FBgn0004170,11,14,8,9
FBgn0002561,10,12,3,13
FBgn0000137,6,5,7,10
FBgn0029522,0,0,0,0
FBgn0052817,86,109,54,55
FBgn0029524,39,67,42,53
FBgn0023536,117,156,109,133
FBgn0023534,100,217,113,197
FBgn0023535,41,59,58,52
FBgn0023537,1600,1659,1677,1658
FBgn0029525,341,417,396,433
FBgn0029523,210,279,226,255
FBgn0010019,27,40,39,39
FBgn0011822,14,21,19,27
FBgn0052816,235,265,261,271
FBgn0040370,205,368,233,385
FBgn0040373,56,89,67,63
FBgn0000108,36,104,52,77
FBgn0025640,172,244,215,258
FBgn0025635,391,443,368,435
FBgn0001341,662,762,737,833
FBgn0003575,1265,1515,1266,1606
FBgn0025634,170,185,156,166
FBgn0025638,460,574,487,635
FBgn0040383,635,648,694,711
FBgn0040382,297,438,309,425
FBgn0027343,76,123,89,128
FBgn0025621,1044,1248,1213,1387
FBgn0029535,5,8,4,8
FBgn0026874,67,114,80,82
FBgn0025616,130,230,168,250
FBgn0015799,409,693,473,624
FBgn0025620,4,8,7,8
FBgn0015288,1022,1091,1029,1138
FBgn0029532,3,7,5,7
FBgn0029531,2,11,5,7
FBgn0025639,822,1029,882,1068
FBgn0002579,643,785,697,752
FBgn0026879,116,163,159,186
FBgn0029529,91,132,109,154
FBgn0025633,655,914,636,939
FBgn0040892,7,16,5,6
FBgn0040341,11,23,10,11
FBgn0029539,13,20,11,20
FBgn0040339,138,166,158,165
FBgn0052815,192,239,191,196
FBgn0040340,510,702,675,713
FBgn0040347,299,383,348,423
FBgn0042146,2,0,0,0
FBgn0029552,0,1,4,1
FBgn0040337,123,196,159,225
FBgn0040398,1809,2451,2004,2595
FBgn0040365,1,1,2,3
FBgn0040397,736,830,658,932
FBgn0026143,271,340,303,374
FBgn0040351,8,12,1,7
FBgn0040338,3,17,2,15
FBgn0040350,15,16,18,8
FBgn0040349,12,8,6,8
FBgn0040348,167,280,192,255
FBgn0040346,237,350,281,342
FBgn0040342,126,136,171,136
FBgn0040345,124,137,137,133
FBgn0040343,9,12,5,8
FBgn0052814,2,3,4,9
FBgn0040364,113,162,109,175
FBgn0040362,7,7,6,6
FBgn0040361,8,10,12,3
FBgn0040360,11,10,12,9
FBgn0040359,40,25,21,20
FBgn0040358,51,46,65,45
FBgn0029568,18,41,21,32
FBgn0040357,15,19,13,16
FBgn0040367,105,117,98,74
FBgn0025642,114,361,111,432
FBgn0004650,16,27,20,31
FBgn0024362,267,311,286,369
FBgn0024361,47,47,37,46
FBgn0024364,291,299,315,358
FBgn0029573,11,21,17,15
FBgn0024987,659,767,696,838
FBgn0023169,359,435,373,454
FBgn0052813,1088,1113,1207,1289
FBgn0024985,439,501,460,497
FBgn0027794,156,225,203,224
FBgn0027795,71,79,74,70
FBgn0024986,230,310,235,301
FBgn0000826,98,126,101,116
FBgn0024365,460,581,520,604
FBgn0024360,138,194,156,209
FBgn0024366,19,15,6,16
FBgn0025641,141,302,170,270
FBgn0052811,0,0,0,1
FBgn0028550,1793,2126,1867,2142
FBgn0026876,339,422,398,465
FBgn0040366,126,220,167,203
FBgn0040363,10,9,9,9
FBgn0040368,4,3,5,4
FBgn0026872,543,779,649,872
FBgn0029580,135,189,123,210
FBgn0025383,144,189,141,173
FBgn0025381,2132,2399,2599,2850
FBgn0025394,300,480,336,464
FBgn0000482,729,937,791,1046
FBgn0001189,206,303,264,302
FBgn0029587,32,47,34,54
FBgn0024897,41,54,48,50
FBgn0025391,14,12,17,8
FBgn0025378,3,2,3,6
FBgn0023130,154,236,216,254
FBgn0023530,239,312,241,334
FBgn0025390,69,117,92,116
FBgn0025393,0,0,0,0
FBgn0003517,2138,2280,2279,2127
FBgn0044508,25,28,18,21
FBgn0025382,265,413,290,361
FBgn0052808,116,213,169,193
FBgn0027791,354,606,450,605
FBgn0027793,121,153,150,158
FBgn0052806,6,18,15,23
FBgn0026873,252,300,282,326
FBgn0023513,441,583,501,602
FBgn0014411,849,1119,911,1322
FBgn0023514,686,756,756,846
FBgn0029594,522,626,460,606
FBgn0023519,463,565,511,558
FBgn0023509,276,384,284,391
FBgn0023510,478,645,447,635
FBgn0023508,419,509,514,609
FBgn0023522,176,243,212,276
FBgn0023521,62,81,79,99
FBgn0025627,311,290,325,310
FBgn0025630,699,942,832,1112
FBgn0025629,478,532,504,580
FBgn0025628,1251,1204,1261,1301
FBgn0029596,197,212,216,185
FBgn0025626,625,753,690,820
FBgn0025625,162,244,154,221
FBgn0025631,2083,2428,2345,2392
FBgn0026878,70,126,79,159
FBgn0000667,1110,1502,1126,1574
FBgn0003964,734,1046,861,1130
FBgn0023545,125,135,125,160
FBgn0023520,125,177,119,140
FBgn0023512,420,553,550,598
FBgn0023511,634,891,726,898
FBgn0052801,0,0,0,0
FBgn0023518,905,1080,1024,1145
FBgn0026088,408,539,460,560
FBgn0026089,591,748,665,855
FBgn0023517,578,874,695,949
FBgn0023516,500,615,612,607
FBgn0023515,472,588,450,510
FBgn0028969,1793,1965,2065,2291
FBgn0026090,649,776,711,871
FBgn0029590,0,5,3,7
FBgn0025624,550,550,590,692
FBgn0040395,3712,4312,3901,4544
FBgn0000382,1308,1661,1270,1655
FBgn0023507,927,665,915,655
FBgn0004654,1289,1471,1272,1678
FBgn0023540,44,87,49,77
FBgn0025839,94,107,89,133
FBgn0011576,2,3,2,0
FBgn0015036,5,10,3,8
FBgn0003116,203,263,178,306
FBgn0040899,93,117,109,120
FBgn0040900,44,72,47,85
FBgn0024984,94,142,92,160
FBgn0023549,1116,888,1191,1236
FBgn0029606,4,14,7,15
FBgn0003048,862,1231,939,1302
FBgn0000810,458,729,540,948
FBgn0023523,87,137,90,131
FBgn0023527,436,520,511,565
FBgn0040391,103,102,124,82
FBgn0053218,72,63,72,51
FBgn0003079,303,424,383,427
FBgn0003159,221,174,266,184
FBgn0040389,178,232,236,251
FBgn0044047,453,395,503,414
FBgn0040392,297,170,255,151
FBgn0023526,3410,4360,3904,4210
FBgn0023529,546,616,653,748
FBgn0023528,513,630,539,765
FBgn0027296,138,240,186,250
FBgn0023524,35,42,37,39
FBgn0023525,69,86,60,69
FBgn0000377,274,427,314,437
FBgn0001330,207,257,222,287
FBgn0004397,1471,1523,1389,1751
FBgn0023550,99,130,79,108
FBgn0029603,17,25,19,15
FBgn0023542,278,353,330,413
FBgn0023541,0,0,0,0
FBgn0005670,13,13,9,9
FBgn0004655,524,630,513,637
FBgn0013432,182,308,210,361
FBgn0004861,1823,1934,1804,1948
FBgn0004860,1829,2013,1948,2030
FBgn0040394,483,550,544,605
FBgn0040376,82,92,62,82
FBgn0040066,410,414,445,460
FBgn0001404,1435,1461,1367,1423
FBgn0040336,140,163,148,163
FBgn0040333,76,83,104,87
FBgn0040334,231,285,248,271
FBgn0029629,519,652,659,736
FBgn0011566,178,198,213,209
FBgn0011606,532,574,479,480
FBgn0040375,860,884,906,958
FBgn0040377,24,48,26,57
FBgn0040388,872,400,1034,471
FBgn0003714,121,145,151,137
FBgn0001150,71,70,111,84
FBgn0052797,3,2,0,4
FBgn0040385,3,2,6,3
FBgn0003371,4159,3892,4529,4078
FBgn0003068,381,650,396,780
FBgn0024993,173,241,207,248
FBgn0024996,309,357,361,419
FBgn0024997,299,332,338,333
FBgn0024991,542,625,479,603
FBgn0000928,436,440,444,409
FBgn0000927,583,647,696,714
FBgn0000520,463,675,513,687
FBgn0024975,172,190,213,199
FBgn0040356,6,0,6,4
FBgn0003996,7,14,16,17
FBgn0040384,81,71,68,72
FBgn0024980,270,209,235,272
FBgn0000376,438,488,490,489
FBgn0024973,567,677,718,723
FBgn0024998,227,246,240,307
FBgn0024995,151,132,183,165
FBgn0024994,305,412,399,404
FBgn0024992,595,755,701,885
FBgn0000092,64,94,67,112
FBgn0025838,4,4,11,10
FBgn0011276,10,17,8,17
FBgn0004647,4971,4204,5572,4202
FBgn0040396,131,116,123,148
FBgn0000479,3714,3025,4068,3015
FBgn0002933,1,0,1,4
FBgn0003374,2,4,4,5
FBgn0029660,119,165,119,173
FBgn0029662,564,459,614,505
FBgn0029661,119,148,112,166
FBgn0029659,66,95,77,123
FBgn0029658,81,213,112,194
FBgn0052493,324,346,391,418
FBgn0029657,697,705,795,736
FBgn0003086,1,2,0,2
FBgn0010296,0,0,2,0
FBgn0010295,1,1,1,0
FBgn0010294,1,0,2,2
FBgn0040393,2,6,5,2
FBgn0000644,9,6,8,13
FBgn0028746,466,416,470,493
FBgn0040355,5,7,6,9
FBgn0052793,8,5,3,6
FBgn0029642,0,0,2,3
FBgn0025645,2,1,1,0
FBgn0029643,4,3,1,3
FBgn0029644,1,2,0,2
FBgn0029645,1,5,4,2
FBgn0029646,0,3,2,2
FBgn0029647,3,0,0,0
FBgn0029648,200,253,228,275
FBgn0028369,396,313,341,308
FBgn0029649,0,2,0,1
FBgn0003285,505,657,618,678
FBgn0025644,1,1,3,0
FBgn0029639,26,21,16,12
FBgn0040354,0,3,1,5
FBgn0040353,2,4,2,2
FBgn0040352,5,8,4,4
FBgn0029664,606,755,691,896
FBgn0029666,555,623,551,692
FBgn0029669,28,25,27,27
FBgn0052792,162,202,163,178
FBgn0044046,35,31,41,25
FBgn0023215,1065,959,1015,952
FBgn0015286,1546,1557,1601,1624
FBgn0023216,493,513,552,594
FBgn0029672,331,329,362,343
FBgn0052791,345,381,382,430
FBgn0029667,132,213,128,205
FBgn0029665,298,429,368,463
FBgn0029663,137,377,202,374
FBgn0052785,273,206,315,238
FBgn0025118,785,799,906,930
FBgn0028491,2040,2925,1828,2545
FBgn0029681,29,41,25,30
FBgn0029686,219,262,264,290
FBgn0052786,0,2,1,1
FBgn0052783,6,5,2,2
FBgn0029687,572,604,628,595
FBgn0029690,4,2,2,2
FBgn0029689,803,872,934,873
FBgn0029688,762,773,915,906
FBgn0029685,548,592,643,688
FBgn0019661,16,56,20,53
FBgn0029694,30,33,51,32
FBgn0000221,171,200,184,197
FBgn0026084,2634,2706,2772,2742
FBgn0026085,141,159,129,151
FBgn0026083,1110,1339,1243,1517
FBgn0066114,215,254,262,282
FBgn0029697,22,51,11,34
FBgn0029701,6,24,5,20
FBgn0029702,32,129,40,79
FBgn0029706,264,279,291,271
FBgn0029705,65,20,47,19
FBgn0040907,154,193,166,196
FBgn0002707,216,289,218,356
FBgn0040906,6,17,11,12
FBgn0029703,1,6,3,3
FBgn0040905,42,54,9,41
FBgn0040904,13,39,9,34
FBgn0029700,7,24,7,15
FBgn0052774,15,55,19,34
FBgn0041252,1,13,7,10
FBgn0029696,2,8,1,3
FBgn0000635,652,631,714,657
FBgn0026080,429,419,403,438
FBgn0026079,258,289,311,308
FBgn0004832,98,96,78,103
FBgn0029693,267,361,303,385
FBgn0000179,58,54,43,57
FBgn0029708,137,200,186,183
