Geneid,Chd1_Auxin1_hst,Chd1_Auxin2_hst,Chd1_Ctrl1_hst,Chd1_Ctrl2_hst,S2_Auxin1_hst,S2_Auxin2_hst,S2_Ctrl1_hst,S2_Ctrl2_hst
FBgn0031081,0,0,1,3,0,0,0,0
FBgn0052826,774,879,863,1085,29,10,13,9
FBgn0031085,0,0,0,0,0,0,0,0
FBgn0062565,38,41,20,19,2,0,0,0
FBgn0031088,1,0,0,0,0,0,0,0
FBgn0041626,0,0,0,0,0,0,0,0
FBgn0040784,2,5,3,4,0,0,0,0
FBgn0031086,4,5,0,3,0,0,0,0
FBgn0031082,0,1,0,0,0,0,0,0
FBgn0031080,0,0,5,6,0,0,0,1
FBgn0052821,0,0,0,0,0,0,0,0
FBgn0053217,354,351,529,477,50,13,20,15
FBgn0052350,311,385,333,388,50,18,25,14
FBgn0024733,1743,1823,2007,2210,291,102,107,93
FBgn0040372,951,979,666,807,76,22,34,19
FBgn0000316,202,204,142,210,27,12,15,9
FBgn0024989,111,127,96,98,11,6,1,4
FBgn0040371,33,20,22,28,2,1,1,1
FBgn0029521,26,22,13,22,5,2,4,1
FBgn0004034,350,424,210,275,5,4,3,2
FBgn0000022,8,10,5,4,0,0,2,2
FBgn0004170,14,8,7,9,1,0,0,2
FBgn0002561,12,11,11,4,1,0,0,0
FBgn0000137,0,1,1,0,0,0,0,0
FBgn0029522,0,0,0,0,0,0,0,0
FBgn0052817,53,53,39,42,7,3,5,2
FBgn0029524,61,50,38,36,6,5,4,4
FBgn0023536,134,107,98,96,16,4,7,5
FBgn0023534,199,172,92,101,11,8,1,3
FBgn0023535,54,43,37,52,4,3,1,3
FBgn0023537,1564,1510,1501,1558,123,46,54,47
FBgn0029525,374,376,311,373,61,35,22,22
FBgn0029523,260,245,205,220,27,17,9,15
FBgn0010019,28,20,21,28,4,0,1,0
FBgn0011822,13,18,13,15,4,1,0,0
FBgn0052816,224,228,206,226,14,4,3,6
FBgn0040370,303,339,187,197,26,10,13,11
FBgn0040373,77,50,46,64,6,5,4,3
FBgn0000108,40,50,22,31,6,1,1,0
FBgn0025640,232,228,159,202,31,17,10,12
FBgn0025635,412,403,354,347,46,21,16,15
FBgn0001341,746,784,620,698,150,60,67,46
FBgn0003575,1368,1403,1157,1140,134,61,86,46
FBgn0025634,156,143,150,150,28,9,5,9
FBgn0025638,504,553,397,434,70,29,21,25
FBgn0040383,633,681,619,680,15,1,5,10
FBgn0040382,414,385,269,286,45,12,18,12
FBgn0027343,50,40,22,19,1,0,1,1
FBgn0025621,1149,1255,973,1128,113,49,45,53
FBgn0029535,8,6,5,4,2,1,0,0
FBgn0026874,99,75,60,74,6,6,1,4
FBgn0025616,208,215,114,159,25,13,13,11
FBgn0015799,620,577,364,423,79,39,42,30
FBgn0025620,2,5,2,4,1,0,0,0
FBgn0015288,989,1050,978,945,140,38,55,36
FBgn0029532,3,4,2,4,0,0,0,0
FBgn0029531,7,6,2,2,1,0,0,0
FBgn0025639,904,942,751,834,135,54,54,48
FBgn0002579,677,644,539,589,52,24,24,25
FBgn0026879,153,166,107,148,37,9,11,6
FBgn0029529,113,137,83,91,10,5,8,3
FBgn0025633,828,833,594,584,77,23,30,26
FBgn0040892,8,4,8,4,2,0,1,0
FBgn0040341,22,13,10,8,3,1,0,1
FBgn0029539,19,18,12,13,2,0,4,1
FBgn0040339,146,153,132,139,13,8,10,8
FBgn0052815,216,180,169,173,27,12,11,8
FBgn0040340,658,662,473,621,151,52,58,63
FBgn0040347,362,388,288,329,43,12,18,18
FBgn0042146,0,0,0,0,0,0,0,0
FBgn0029552,0,0,0,1,0,1,0,0
FBgn0040337,166,161,103,133,14,8,5,5
FBgn0040398,2359,2457,1776,1927,129,62,36,34
FBgn0040365,0,3,0,2,0,0,0,0
FBgn0040397,159,131,142,112,10,4,6,4
FBgn0026143,237,231,165,196,53,21,30,23
FBgn0040351,7,5,3,1,1,1,0,0
FBgn0040338,8,7,4,4,1,1,0,1
FBgn0040350,10,6,13,15,0,0,0,2
FBgn0040349,6,7,8,4,0,1,0,0
FBgn0040348,245,234,152,170,25,11,12,5
FBgn0040346,318,299,217,267,44,8,14,10
FBgn0040342,126,126,126,162,12,6,6,3
FBgn0040345,122,124,110,128,19,17,5,5
FBgn0040343,12,6,8,5,1,1,1,0
FBgn0052814,1,8,2,3,1,0,0,1
FBgn0040364,111,113,74,68,11,0,7,3
FBgn0040362,7,2,4,5,2,1,0,1
FBgn0040361,5,2,4,7,0,0,0,1
FBgn0040360,7,6,10,7,0,0,1,0
