Geneid,ORE_male_1,CHD_male_1,ORE_male_2,CHD_male_2 ,ORE_fem_1 ,CHD_fem_1 ,ORE_fem_2 ,CHD_fem_2 
FBgn0031081,423,251,313,72,180,96,116,46
FBgn0052826,2,0,1,0,2,0,0,0
FBgn0031085,24,8,21,4,7,3,4,0
FBgn0062565,1,0,1,0,0,1,0,0
FBgn0031088,7,3,4,0,6,2,8,1
FBgn0041626,0,0,0,1,1,0,0,0
FBgn0040784,0,0,0,0,0,0,0,0
FBgn0031086,0,0,1,0,0,0,0,0
FBgn0031082,2,0,2,0,4,3,2,1
FBgn0031080,54,11,47,4,32,7,16,5
FBgn0052821,0,0,0,0,0,0,0,0
FBgn0053217,55,24,48,9,45,17,28,9
FBgn0052350,75,44,85,11,83,17,67,5
FBgn0024733,1181,604,1002,137,1453,414,1044,309
FBgn0040372,457,231,401,45,294,126,181,62
FBgn0000316,95,54,88,5,85,35,80,26
FBgn0024989,8,13,10,4,10,2,3,0
FBgn0040371,2,0,6,0,1,1,4,0
FBgn0029521,7,0,2,1,3,1,1,1
FBgn0004034,0,0,1,0,1,0,0,0
FBgn0000022,0,0,0,0,0,0,0,0
FBgn0004170,1,0,0,0,0,0,0,0
FBgn0002561,1,0,1,0,0,0,0,0
FBgn0000137,0,1,2,0,0,0,0,1
FBgn0029522,0,0,0,0,0,0,0,0
FBgn0052817,5,1,3,1,4,5,2,1
FBgn0029524,3,1,1,0,2,0,0,0
FBgn0023536,46,29,27,3,30,21,15,4
FBgn0023534,141,38,110,13,87,23,52,10
FBgn0023535,1,0,0,0,13,5,9,7
FBgn0023537,677,311,537,61,448,135,353,106
FBgn0029525,92,55,84,17,60,26,31,25
FBgn0029523,27,14,25,1,17,3,5,3
FBgn0010019,18,7,20,65,6,203,11,335
FBgn0011822,0,0,0,0,1,0,0,0
FBgn0052816,20,9,17,1,24,5,7,1
FBgn0040370,273,117,211,35,166,61,118,22
FBgn0040373,9,2,2,1,3,2,3,2
FBgn0000108,4944,2379,4020,594,2623,951,1622,519
FBgn0025640,111,51,96,15,77,40,48,20
FBgn0025635,63,34,58,6,53,13,12,7
FBgn0001341,88,40,55,15,37,24,24,9
FBgn0003575,432,249,351,60,280,127,178,80
FBgn0025634,78,37,35,8,47,15,15,7
FBgn0025638,141,74,114,24,73,32,63,33
FBgn0040383,98,67,53,18,40,26,31,10
FBgn0040382,2166,886,1531,209,1046,526,511,254
FBgn0027343,46,28,25,2,12,22,19,9
FBgn0025621,304,159,230,42,205,102,110,75
FBgn0029535,12,5,6,2,5,3,4,0
FBgn0026874,1,0,1,1,2,0,0,0
FBgn0025616,0,0,0,1,1,0,1,0
FBgn0015799,242,114,209,33,143,53,106,44
FBgn0025620,103,47,71,6,79,58,28,38
FBgn0015288,1477,735,958,157,1345,511,1060,413
FBgn0029532,1,1,3,3,3,1,2,0
FBgn0029531,2,5,3,0,2,1,2,0
FBgn0025639,955,577,772,144,643,373,397,172
FBgn0002579,1249,469,1039,137,1053,298,878,194
FBgn0026879,42,31,25,8,62,16,32,3
FBgn0029529,50,10,22,3,21,12,20,8
FBgn0025633,545,212,440,60,326,110,217,86
FBgn0040892,20,5,14,5,12,8,4,1
FBgn0040341,59,29,48,4,36,12,19,7
FBgn0029539,3,2,1,1,2,0,2,1
FBgn0040339,22,17,16,1,13,5,15,4
FBgn0052815,365,138,244,40,150,77,110,27
FBgn0040340,177,120,140,21,133,71,83,58
FBgn0040347,38,8,14,5,20,1,8,1
FBgn0042146,0,0,0,1,0,0,0,0
FBgn0029552,1,0,1,0,1,1,1,1
FBgn0040337,48,29,36,6,30,7,21,4
FBgn0040398,606,505,524,119,493,308,194,233
FBgn0040365,0,0,0,0,0,0,0,0
FBgn0040397,373,195,337,34,254,84,186,45
FBgn0026143,67,37,46,7,30,16,21,10
FBgn0040351,228,88,188,31,99,51,80,19
FBgn0040338,0,0,0,0,0,0,0,0
FBgn0040350,9,1,6,1,4,1,3,0
FBgn0040349,71,44,60,5,41,39,28,29
FBgn0040348,362,136,284,33,159,72,141,48
FBgn0040346,104,33,82,10,48,17,33,14
FBgn0040342,20,10,13,2,4,1,8,1
FBgn0040345,26,6,16,1,7,5,7,2
FBgn0040343,13,8,13,1,4,0,9,2
FBgn0052814,11,4,6,1,6,1,5,1
FBgn0040364,70,65,60,10,30,24,14,15
FBgn0040362,0,0,1,0,0,0,0,0
FBgn0040361,15,1,13,0,20,0,7,0
FBgn0040360,2,0,1,0,10,3,5,0
FBgn0040359,3,1,2,0,0,0,3,0
FBgn0040358,6,0,3,0,5,0,2,0
FBgn0029568,0,0,2,0,0,0,1,0
FBgn0040357,27,1,19,0,16,0,16,0
FBgn0040367,27,3,17,0,13,0,12,1
FBgn0025642,6,5,11,0,3,2,4,1
FBgn0004650,8,4,2,1,2,3,1,0
FBgn0024362,153,66,119,12,98,39,56,28
FBgn0024361,22,6,7,3,7,3,6,0
FBgn0024364,58,24,60,3,46,11,20,10
FBgn0029573,7,2,15,1,3,1,1,0
FBgn0024987,782,394,680,93,348,239,221,133
FBgn0023169,863,393,610,70,453,229,301,150
FBgn0052813,264,117,189,24,151,78,69,33
FBgn0024985,948,469,719,86,569,228,316,144
FBgn0027794,278,143,243,54,160,113,113,81
FBgn0027795,45,10,34,3,24,5,11,4
FBgn0024986,100,36,81,16,66,29,33,22
FBgn0000826,7,2,8,1,0,0,1,0
FBgn0024365,273,167,242,41,161,67,103,56
FBgn0024360,63,48,65,10,43,12,29,11
FBgn0024366,12,6,9,4,4,0,3,2
FBgn0025641,1166,625,912,161,767,353,510,205
FBgn0052811,3,0,3,1,2,0,3,0
FBgn0028550,612,337,529,77,493,248,262,104
FBgn0026876,25,9,20,6,9,4,7,1
FBgn0040366,46,8,31,4,16,7,20,4
FBgn0040363,1,1,3,0,0,0,1,0
FBgn0040368,1,0,2,0,0,0,0,0
FBgn0026872,152,71,96,25,49,47,45,24
FBgn0029580,45,23,24,2,16,13,10,4
FBgn0025383,9,2,5,1,4,0,0,0
FBgn0025381,283,155,232,26,198,84,128,53
FBgn0025394,296,154,212,24,179,79,110,42
FBgn0000482,223,99,144,15,97,51,66,22
FBgn0001189,123,87,119,25,79,50,78,20
FBgn0029587,62,21,42,16,20,11,50,6
FBgn0024897,63,38,35,6,25,12,50,15
FBgn0025391,123,76,113,20,85,36,57,26
FBgn0025378,0,0,0,0,0,0,0,0
FBgn0023130,220,75,156,12,103,38,73,24
FBgn0023530,30,12,31,1,28,6,23,3
FBgn0025390,332,160,266,32,256,134,173,82
FBgn0025393,0,0,0,0,0,0,0,0
FBgn0003517,3744,1640,2914,406,4735,1335,3410,925
FBgn0044508,0,0,0,0,0,0,0,0
FBgn0025382,74,44,64,10,33,28,29,11
FBgn0052808,49,23,36,9,19,6,16,3
FBgn0027791,66,31,48,3,37,16,26,13
FBgn0027793,7,7,5,1,3,0,1,1
FBgn0052806,9,8,9,2,6,1,8,1
FBgn0026873,18,11,13,1,14,6,3,5
FBgn0023513,75,29,40,6,20,9,16,7
FBgn0014411,220,151,189,33,149,62,80,32
FBgn0023514,84,42,59,4,66,16,30,13
FBgn0029594,53,22,54,4,27,12,15,11
FBgn0023519,51,27,42,12,30,10,20,9
FBgn0023509,199,111,145,18,121,42,69,27
FBgn0023510,971,519,776,111,466,221,317,148
FBgn0023508,493,286,390,75,267,134,153,98
FBgn0023522,96,32,74,5,48,25,33,8
FBgn0023521,10,6,15,1,11,4,8,7
FBgn0025627,31,11,21,3,10,8,7,2
FBgn0025630,90,23,80,9,37,16,25,14
FBgn0025629,61,30,64,5,43,11,23,8
FBgn0025628,367,213,244,67,155,88,111,63
FBgn0029596,2,1,3,0,0,0,0,0
FBgn0025626,193,101,150,22,118,51,93,30
FBgn0025625,1027,464,839,114,514,282,395,147
FBgn0025631,535,266,422,73,351,134,187,80
FBgn0026878,12,8,13,3,23,2,17,4
FBgn0000667,620,465,534,126,421,260,263,134
FBgn0003964,282,186,246,24,147,83,122,59
FBgn0023545,129,59,83,9,62,15,42,10
FBgn0023520,30,13,24,5,29,11,11,6
FBgn0023512,157,62,140,18,83,29,72,21
FBgn0023511,351,171,233,59,212,110,131,63
FBgn0052801,0,0,0,0,0,0,0,0
FBgn0023518,734,372,548,98,391,191,260,103
FBgn0026088,67,33,65,11,52,22,27,14
FBgn0026089,46,30,38,6,38,12,15,9
FBgn0023517,39,21,15,3,20,13,24,5
FBgn0023516,191,83,159,36,98,46,79,23
FBgn0023515,60,32,47,8,24,4,3,1
FBgn0028969,333,187,237,47,195,71,120,62
FBgn0026090,83,44,48,10,54,18,32,13
FBgn0029590,0,1,2,0,1,1,1,0
FBgn0025624,104,42,97,10,42,22,25,16
FBgn0040395,1154,513,945,137,653,231,344,131
FBgn0000382,3049,1448,2466,329,1881,681,1165,398
FBgn0023507,750,323,595,79,667,172,407,132
FBgn0004654,401,197,301,38,291,111,151,84
FBgn0023540,160,69,147,11,115,43,36,25
FBgn0025839,180,81,157,28,94,33,59,24
FBgn0011576,0,0,0,0,0,0,0,0
FBgn0015036,0,3,0,0,1,0,0,0
FBgn0003116,76,39,66,17,26,11,18,6
FBgn0040899,21,5,4,0,6,3,3,6
FBgn0040900,13,9,13,1,11,2,6,0
FBgn0024984,2,0,0,0,0,0,0,0
FBgn0023549,134,131,117,28,98,65,72,54
FBgn0029606,2,0,2,0,0,0,1,1
FBgn0003048,985,543,755,97,514,302,350,174
FBgn0000810,113,80,133,17,93,28,55,14
FBgn0023523,4,6,4,3,8,2,1,3
FBgn0023527,61,51,60,10,42,7,28,16
FBgn0040391,11,14,6,2,10,10,19,3
FBgn0053218,4,2,2,0,6,5,5,2
FBgn0003079,236,134,195,34,137,66,80,41
FBgn0003159,462,271,354,58,237,169,170,100
FBgn0040389,48,22,24,6,28,3,22,5
FBgn0044047,90,98,98,18,122,47,70,24
FBgn0040392,8,14,10,0,18,5,15,3
FBgn0023526,459,161,406,30,306,66,182,34
FBgn0023529,750,346,573,90,501,181,392,125
FBgn0023528,391,229,361,72,272,107,153,52
FBgn0027296,144,97,115,22,95,45,51,23
FBgn0023524,638,268,487,71,276,111,207,81
FBgn0023525,71,33,45,11,51,33,44,12
FBgn0000377,92,51,79,16,62,21,45,10
FBgn0001330,80,33,66,17,49,8,25,3
FBgn0004397,1284,576,958,147,667,329,487,198
FBgn0023550,41,39,33,4,20,18,19,9
FBgn0029603,5,6,4,0,7,1,6,1
FBgn0023542,102,65,70,17,79,24,34,13
FBgn0023541,0,0,0,0,0,0,0,0
FBgn0005670,16,28,13,13,4,21,4,8
FBgn0004655,907,432,696,96,531,208,360,138
FBgn0013432,52,23,46,13,41,11,24,7
FBgn0004861,436,236,352,53,254,134,170,57
FBgn0004860,421,196,332,46,241,126,135,60
FBgn0040394,118,67,104,20,82,39,52,33
FBgn0040376,18,6,15,1,7,4,6,1
FBgn0040066,71,33,55,7,56,18,23,7
FBgn0001404,599,389,512,70,412,186,199,92
FBgn0040336,44,32,22,2,33,13,15,6
