"Geneid","ORE_fem_1 ","CHD_fem_1 ","ORE_fem_2 ","CHD_fem_2 "
"FBgn0031081","180","96","116","46"
"FBgn0052826","2","0","0","0"
"FBgn0031085","7","3","4","0"
"FBgn0062565","0","1","0","0"
"FBgn0031088","6","2","8","1"
"FBgn0041626","1","0","0","0"
"FBgn0040784","0","0","0","0"
"FBgn0031086","0","0","0","0"
"FBgn0031082","4","3","2","1"
"FBgn0031080","32","7","16","5"
"FBgn0052821","0","0","0","0"
"FBgn0053217","45","17","28","9"
"FBgn0052350","83","17","67","5"
"FBgn0024733","1453","414","1044","309"
"FBgn0040372","294","126","181","62"
"FBgn0000316","85","35","80","26"
"FBgn0024989","10","2","3","0"
"FBgn0040371","1","1","4","0"
"FBgn0029521","3","1","1","1"
"FBgn0004034","1","0","0","0"
"FBgn0000022","0","0","0","0"
"FBgn0004170","0","0","0","0"
"FBgn0002561","0","0","0","0"
"FBgn0000137","0","0","0","1"
"FBgn0029522","0","0","0","0"
"FBgn0052817","4","5","2","1"
"FBgn0029524","2","0","0","0"
"FBgn0023536","30","21","15","4"
"FBgn0023534","87","23","52","10"
"FBgn0023535","13","5","9","7"
"FBgn0023537","448","135","353","106"
"FBgn0029525","60","26","31","25"
"FBgn0029523","17","3","5","3"
"FBgn0010019","6","203","11","335"
"FBgn0011822","1","0","0","0"
"FBgn0052816","24","5","7","1"
"FBgn0040370","166","61","118","22"
"FBgn0040373","3","2","3","2"
"FBgn0000108","2623","951","1622","519"
"FBgn0025640","77","40","48","20"
"FBgn0025635","53","13","12","7"
"FBgn0001341","37","24","24","9"
"FBgn0003575","280","127","178","80"
"FBgn0025634","47","15","15","7"
"FBgn0025638","73","32","63","33"
"FBgn0040383","40","26","31","10"
"FBgn0040382","1046","526","511","254"
"FBgn0027343","12","22","19","9"
"FBgn0025621","205","102","110","75"
"FBgn0029535","5","3","4","0"
"FBgn0026874","2","0","0","0"
"FBgn0025616","1","0","1","0"
"FBgn0015799","143","53","106","44"
"FBgn0025620","79","58","28","38"
"FBgn0015288","1345","511","1060","413"
"FBgn0029532","3","1","2","0"
"FBgn0029531","2","1","2","0"
"FBgn0025639","643","373","397","172"
"FBgn0002579","1053","298","878","194"
"FBgn0026879","62","16","32","3"
"FBgn0029529","21","12","20","8"
"FBgn0025633","326","110","217","86"
"FBgn0040892","12","8","4","1"
"FBgn0040341","36","12","19","7"
"FBgn0029539","2","0","2","1"
"FBgn0040339","13","5","15","4"
"FBgn0052815","150","77","110","27"
"FBgn0040340","133","71","83","58"
"FBgn0040347","20","1","8","1"
"FBgn0042146","0","0","0","0"
"FBgn0029552","1","1","1","1"
"FBgn0040337","30","7","21","4"
"FBgn0040398","493","308","194","233"
"FBgn0040365","0","0","0","0"
"FBgn0040397","254","84","186","45"
"FBgn0026143","30","16","21","10"
"FBgn0040351","99","51","80","19"
"FBgn0040338","0","0","0","0"
"FBgn0040350","4","1","3","0"
"FBgn0040349","41","39","28","29"
"FBgn0040348","159","72","141","48"
"FBgn0040346","48","17","33","14"
"FBgn0040342","4","1","8","1"
"FBgn0040345","7","5","7","2"
"FBgn0040343","4","0","9","2"
"FBgn0052814","6","1","5","1"
"FBgn0040364","30","24","14","15"
"FBgn0040362","0","0","0","0"
"FBgn0040361","20","0","7","0"
"FBgn0040360","10","3","5","0"
"FBgn0040359","0","0","3","0"
"FBgn0040358","5","0","2","0"
"FBgn0029568","0","0","1","0"
"FBgn0040357","16","0","16","0"
"FBgn0040367","13","0","12","1"
"FBgn0025642","3","2","4","1"
"FBgn0004650","2","3","1","0"
"FBgn0024362","98","39","56","28"
"FBgn0024361","7","3","6","0"
"FBgn0024364","46","11","20","10"
"FBgn0029573","3","1","1","0"
"FBgn0024987","348","239","221","133"
"FBgn0023169","453","229","301","150"
"FBgn0052813","151","78","69","33"
"FBgn0024985","569","228","316","144"
"FBgn0027794","160","113","113","81"
"FBgn0027795","24","5","11","4"
"FBgn0024986","66","29","33","22"
"FBgn0000826","0","0","1","0"
"FBgn0024365","161","67","103","56"
"FBgn0024360","43","12","29","11"
"FBgn0024366","4","0","3","2"
"FBgn0025641","767","353","510","205"
"FBgn0052811","2","0","3","0"
"FBgn0028550","493","248","262","104"
"FBgn0026876","9","4","7","1"
"FBgn0040366","16","7","20","4"
"FBgn0040363","0","0","1","0"
"FBgn0040368","0","0","0","0"
"FBgn0026872","49","47","45","24"
"FBgn0029580","16","13","10","4"
"FBgn0025383","4","0","0","0"
"FBgn0025381","198","84","128","53"
"FBgn0025394","179","79","110","42"
"FBgn0000482","97","51","66","22"
"FBgn0001189","79","50","78","20"
"FBgn0029587","20","11","50","6"
"FBgn0024897","25","12","50","15"
"FBgn0025391","85","36","57","26"
"FBgn0025378","0","0","0","0"
"FBgn0023130","103","38","73","24"
"FBgn0023530","28","6","23","3"
"FBgn0025390","256","134","173","82"
"FBgn0025393","0","0","0","0"
"FBgn0003517","4735","1335","3410","925"
"FBgn0044508","0","0","0","0"
"FBgn0025382","33","28","29","11"
"FBgn0052808","19","6","16","3"
"FBgn0027791","37","16","26","13"
"FBgn0027793","3","0","1","1"
"FBgn0052806","6","1","8","1"
"FBgn0026873","14","6","3","5"
"FBgn0023513","20","9","16","7"
"FBgn0014411","149","62","80","32"
"FBgn0023514","66","16","30","13"
"FBgn0029594","27","12","15","11"
"FBgn0023519","30","10","20","9"
"FBgn0023509","121","42","69","27"
"FBgn0023510","466","221","317","148"
"FBgn0023508","267","134","153","98"
"FBgn0023522","48","25","33","8"
"FBgn0023521","11","4","8","7"
"FBgn0025627","10","8","7","2"
"FBgn0025630","37","16","25","14"
"FBgn0025629","43","11","23","8"
"FBgn0025628","155","88","111","63"
"FBgn0029596","0","0","0","0"
"FBgn0025626","118","51","93","30"
"FBgn0025625","514","282","395","147"
"FBgn0025631","351","134","187","80"
"FBgn0026878","23","2","17","4"
"FBgn0000667","421","260","263","134"
"FBgn0003964","147","83","122","59"
"FBgn0023545","62","15","42","10"
"FBgn0023520","29","11","11","6"
"FBgn0023512","83","29","72","21"
"FBgn0023511","212","110","131","63"
"FBgn0052801","0","0","0","0"
"FBgn0023518","391","191","260","103"
"FBgn0026088","52","22","27","14"
"FBgn0026089","38","12","15","9"
"FBgn0023517","20","13","24","5"
"FBgn0023516","98","46","79","23"
"FBgn0023515","24","4","3","1"
"FBgn0028969","195","71","120","62"
"FBgn0026090","54","18","32","13"
"FBgn0029590","1","1","1","0"
"FBgn0025624","42","22","25","16"
"FBgn0040395","653","231","344","131"
"FBgn0000382","1881","681","1165","398"
"FBgn0023507","667","172","407","132"
"FBgn0004654","291","111","151","84"
"FBgn0023540","115","43","36","25"
"FBgn0025839","94","33","59","24"
