"Geneid","ORE_male_1","CHD_male_1","ORE_male_2","CHD_male_2 "
"FBgn0031081","423","251","313","72"
"FBgn0052826","2","0","1","0"
"FBgn0031085","24","8","21","4"
"FBgn0062565","1","0","1","0"
"FBgn0031088","7","3","4","0"
"FBgn0041626","0","0","0","1"
"FBgn0040784","0","0","0","0"
"FBgn0031086","0","0","1","0"
"FBgn0031082","2","0","2","0"
"FBgn0031080","54","11","47","4"
"FBgn0052821","0","0","0","0"
"FBgn0053217","55","24","48","9"
"FBgn0052350","75","44","85","11"
"FBgn0024733","1181","604","1002","137"
"FBgn0040372","457","231","401","45"
"FBgn0000316","95","54","88","5"
"FBgn0024989","8","13","10","4"
"FBgn0040371","2","0","6","0"
"FBgn0029521","7","0","2","1"
"FBgn0004034","0","0","1","0"
"FBgn0000022","0","0","0","0"
"FBgn0004170","1","0","0","0"
"FBgn0002561","1","0","1","0"
"FBgn0000137","0","1","2","0"
"FBgn0029522","0","0","0","0"
"FBgn0052817","5","1","3","1"
"FBgn0029524","3","1","1","0"
"FBgn0023536","46","29","27","3"
"FBgn0023534","141","38","110","13"
"FBgn0023535","1","0","0","0"
"FBgn0023537","677","311","537","61"
"FBgn0029525","92","55","84","17"
"FBgn0029523","27","14","25","1"
"FBgn0010019","18","7","20","65"
"FBgn0011822","0","0","0","0"
"FBgn0052816","20","9","17","1"
"FBgn0040370","273","117","211","35"
"FBgn0040373","9","2","2","1"
"FBgn0000108","4944","2379","4020","594"
"FBgn0025640","111","51","96","15"
"FBgn0025635","63","34","58","6"
"FBgn0001341","88","40","55","15"
"FBgn0003575","432","249","351","60"
"FBgn0025634","78","37","35","8"
"FBgn0025638","141","74","114","24"
"FBgn0040383","98","67","53","18"
"FBgn0040382","2166","886","1531","209"
"FBgn0027343","46","28","25","2"
"FBgn0025621","304","159","230","42"
"FBgn0029535","12","5","6","2"
"FBgn0026874","1","0","1","1"
"FBgn0025616","0","0","0","1"
"FBgn0015799","242","114","209","33"
"FBgn0025620","103","47","71","6"
"FBgn0015288","1477","735","958","157"
"FBgn0029532","1","1","3","3"
"FBgn0029531","2","5","3","0"
"FBgn0025639","955","577","772","144"
"FBgn0002579","1249","469","1039","137"
"FBgn0026879","42","31","25","8"
"FBgn0029529","50","10","22","3"
"FBgn0025633","545","212","440","60"
"FBgn0040892","20","5","14","5"
"FBgn0040341","59","29","48","4"
"FBgn0029539","3","2","1","1"
"FBgn0040339","22","17","16","1"
"FBgn0052815","365","138","244","40"
"FBgn0040340","177","120","140","21"
"FBgn0040347","38","8","14","5"
"FBgn0042146","0","0","0","1"
"FBgn0029552","1","0","1","0"
"FBgn0040337","48","29","36","6"
"FBgn0040398","606","505","524","119"
"FBgn0040365","0","0","0","0"
"FBgn0040397","373","195","337","34"
"FBgn0026143","67","37","46","7"
"FBgn0040351","228","88","188","31"
"FBgn0040338","0","0","0","0"
"FBgn0040350","9","1","6","1"
"FBgn0040349","71","44","60","5"
"FBgn0040348","362","136","284","33"
"FBgn0040346","104","33","82","10"
"FBgn0040342","20","10","13","2"
"FBgn0040345","26","6","16","1"
"FBgn0040343","13","8","13","1"
"FBgn0052814","11","4","6","1"
"FBgn0040364","70","65","60","10"
"FBgn0040362","0","0","1","0"
"FBgn0040361","15","1","13","0"
"FBgn0040360","2","0","1","0"
"FBgn0040359","3","1","2","0"
"FBgn0040358","6","0","3","0"
"FBgn0029568","0","0","2","0"
"FBgn0040357","27","1","19","0"
"FBgn0040367","27","3","17","0"
"FBgn0025642","6","5","11","0"
"FBgn0004650","8","4","2","1"
"FBgn0024362","153","66","119","12"
"FBgn0024361","22","6","7","3"
"FBgn0024364","58","24","60","3"
"FBgn0029573","7","2","15","1"
"FBgn0024987","782","394","680","93"
"FBgn0023169","863","393","610","70"
"FBgn0052813","264","117","189","24"
"FBgn0024985","948","469","719","86"
"FBgn0027794","278","143","243","54"
"FBgn0027795","45","10","34","3"
"FBgn0024986","100","36","81","16"
"FBgn0000826","7","2","8","1"
"FBgn0024365","273","167","242","41"
"FBgn0024360","63","48","65","10"
"FBgn0024366","12","6","9","4"
"FBgn0025641","1166","625","912","161"
"FBgn0052811","3","0","3","1"
"FBgn0028550","612","337","529","77"
"FBgn0026876","25","9","20","6"
"FBgn0040366","46","8","31","4"
"FBgn0040363","1","1","3","0"
"FBgn0040368","1","0","2","0"
"FBgn0026872","152","71","96","25"
"FBgn0029580","45","23","24","2"
"FBgn0025383","9","2","5","1"
"FBgn0025381","283","155","232","26"
"FBgn0025394","296","154","212","24"
"FBgn0000482","223","99","144","15"
"FBgn0001189","123","87","119","25"
"FBgn0029587","62","21","42","16"
"FBgn0024897","63","38","35","6"
"FBgn0025391","123","76","113","20"
"FBgn0025378","0","0","0","0"
"FBgn0023130","220","75","156","12"
"FBgn0023530","30","12","31","1"
"FBgn0025390","332","160","266","32"
"FBgn0025393","0","0","0","0"
"FBgn0003517","3744","1640","2914","406"
"FBgn0044508","0","0","0","0"
"FBgn0025382","74","44","64","10"
"FBgn0052808","49","23","36","9"
"FBgn0027791","66","31","48","3"
"FBgn0027793","7","7","5","1"
"FBgn0052806","9","8","9","2"
"FBgn0026873","18","11","13","1"
"FBgn0023513","75","29","40","6"
"FBgn0014411","220","151","189","33"
"FBgn0023514","84","42","59","4"
"FBgn0029594","53","22","54","4"
"FBgn0023519","51","27","42","12"
"FBgn0023509","199","111","145","18"
