Geneid,Chd1_Auxin1_r653,Chd1_Auxin2_r653,Chd1_Ctrl1_r653,Chd1_Ctrl2_r653,S2_Auxin1_r653,S2_Auxin2_r653,S2_Ctrl1_r653,S2_Ctrl2_r653
FBgn0031081,5,6,7,16,6,2,1,3
FBgn0052826,773,875,856,1070,208,130,96,116
FBgn0031085,4,3,4,1,0,0,1,1
FBgn0062565,44,49,25,22,12,3,2,2
FBgn0031088,7,6,12,6,1,2,1,1
FBgn0041626,3,7,4,4,1,0,1,0
FBgn0040784,4,8,4,3,0,1,0,0
FBgn0031086,7,8,5,4,0,2,0,0
FBgn0031082,2,2,4,1,1,0,0,0
FBgn0031080,0,1,7,5,3,1,1,1
FBgn0052821,0,0,0,0,0,0,0,0
FBgn0053217,400,392,580,518,324,163,151,124
FBgn0052350,345,444,377,434,283,142,136,115
FBgn0024733,2126,2268,2410,2668,2020,1041,975,1018
FBgn0040372,1042,1085,742,878,575,285,311,262
FBgn0000316,218,237,166,233,169,103,83,95
FBgn0024989,127,147,110,106,68,38,45,30
FBgn0040371,34,26,28,30,45,18,19,15
FBgn0029521,28,25,15,28,33,9,19,11
FBgn0004034,391,478,216,303,50,37,36,26
FBgn0000022,10,13,6,7,5,2,7,10
FBgn0004170,14,9,11,8,12,4,3,7
FBgn0002561,12,13,10,3,11,7,2,4
FBgn0000137,5,10,6,7,13,6,4,8
FBgn0029522,0,0,0,0,0,0,0,0
FBgn0052817,109,55,86,54,51,18,30,25
FBgn0029524,67,53,39,42,41,21,19,29
FBgn0023536,156,133,117,109,105,69,43,59
FBgn0023534,217,197,100,113,84,47,49,43
FBgn0023535,59,52,41,58,32,35,23,19
FBgn0023537,1659,1658,1600,1677,1114,524,579,676
FBgn0029525,417,433,341,396,484,236,256,224
FBgn0029523,279,255,210,226,240,121,123,127
FBgn0010019,40,39,27,39,29,11,15,8
FBgn0011822,21,27,14,19,13,5,5,5
FBgn0052816,265,271,235,261,193,83,77,90
FBgn0040370,368,385,205,233,192,69,83,81
FBgn0040373,89,63,56,67,84,23,39,23
FBgn0000108,104,77,36,52,65,20,42,23
FBgn0025640,244,258,172,215,240,132,153,125
FBgn0025635,443,435,391,368,342,203,205,195
FBgn0001341,762,833,662,737,1183,580,593,564
FBgn0003575,1515,1606,1265,1266,1140,539,573,539
FBgn0025634,185,166,170,156,179,86,91,94
FBgn0025638,574,635,460,487,583,270,304,259
FBgn0040383,648,711,635,694,153,83,65,86
FBgn0040382,438,425,297,309,324,143,192,155
FBgn0027343,123,128,76,89,247,109,125,114
FBgn0025621,1248,1387,1044,1213,777,427,390,421
FBgn0029535,8,8,5,4,11,4,2,0
FBgn0026874,114,82,67,80,54,29,23,27
FBgn0025616,230,250,130,168,215,109,134,100
FBgn0015799,693,624,409,473,595,331,363,314
FBgn0025620,8,8,4,7,0,1,0,1
FBgn0015288,1091,1138,1022,1029,931,502,467,392
FBgn0029532,7,7,3,5,3,3,1,0
FBgn0029531,11,7,2,5,1,0,0,2
FBgn0025639,1029,1068,822,882,888,454,515,435
FBgn0002579,785,752,643,697,442,275,245,258
FBgn0026879,163,186,116,159,194,93,100,86
FBgn0029529,132,154,91,109,91,36,43,40
FBgn0025633,914,939,655,636,549,274,303,287
FBgn0040892,16,6,7,5,9,5,4,7
FBgn0040341,23,11,11,10,27,8,8,16
FBgn0029539,20,20,13,11,22,3,10,7
FBgn0040339,166,165,138,158,116,63,67,60
FBgn0052815,239,196,192,191,186,110,101,79
FBgn0040340,702,713,510,675,1102,559,549,542
FBgn0040347,383,423,299,348,324,141,168,148
FBgn0042146,0,0,2,0,1,0,0,0
FBgn0029552,1,1,0,4,1,2,1,0
FBgn0040337,196,225,123,159,150,78,83,83
FBgn0040398,2451,2595,1809,2004,911,521,438,462
FBgn0040365,1,3,1,2,0,0,0,0
FBgn0040397,830,932,736,658,412,207,238,241
FBgn0026143,340,374,271,303,512,231,275,217
FBgn0040351,12,7,8,1,7,8,7,1
FBgn0040338,17,15,3,2,9,2,0,4
FBgn0040350,16,8,15,18,11,3,8,6
FBgn0040349,8,8,12,6,12,6,8,6
FBgn0040348,280,255,167,192,199,93,104,94
FBgn0040346,350,342,237,281,271,128,157,135
FBgn0040342,136,136,126,171,89,54,62,48
FBgn0040345,137,133,124,137,144,83,75,70
FBgn0040343,12,8,9,5,13,3,6,4
FBgn0052814,3,9,2,4,10,5,3,3
FBgn0040364,162,175,113,109,114,50,54,51
FBgn0040362,7,6,7,6,7,4,2,5
FBgn0040361,10,3,8,12,5,4,6,6
FBgn0040360,10,9,11,12,8,3,4,1
FBgn0040359,25,20,40,21,20,6,4,7
FBgn0040358,46,45,51,65,36,21,9,9
FBgn0029568,41,32,18,21,21,6,13,10
FBgn0040357,19,16,15,13,7,6,4,2
FBgn0040367,117,74,105,98,62,31,38,29
FBgn0025642,361,432,114,111,160,78,79,75
FBgn0004650,27,31,16,20,16,9,16,6
FBgn0024362,311,369,267,286,354,182,172,153
FBgn0024361,47,46,47,37,63,28,23,26
FBgn0024364,299,358,291,315,628,304,333,279
FBgn0029573,21,15,11,17,2,3,9,5
FBgn0024987,767,838,659,696,637,274,353,298
FBgn0023169,435,454,359,373,373,173,201,204
FBgn0052813,1113,1289,1088,1207,540,262,302,336
FBgn0024985,501,497,439,460,464,262,228,274
FBgn0027794,225,224,156,203,216,111,117,110
FBgn0027795,79,70,71,74,61,26,39,25
FBgn0024986,310,301,230,235,199,127,102,109
FBgn0000826,126,116,98,101,151,79,66,74
FBgn0024365,581,604,460,520,595,307,342,279
FBgn0024360,194,209,138,156,210,109,121,80
FBgn0024366,15,16,19,6,22,4,5,9
FBgn0025641,302,270,141,170,113,56,66,51
FBgn0052811,0,1,0,0,2,0,3,0
FBgn0028550,2126,2142,1793,1867,1135,551,584,601
FBgn0026876,422,465,339,398,395,210,198,228
FBgn0040366,220,203,126,167,208,78,90,92
FBgn0040363,9,9,10,9,9,3,4,5
FBgn0040368,3,4,4,5,2,0,0,1
FBgn0026872,779,872,543,649,538,240,306,305
FBgn0029580,189,210,135,123,83,41,49,41
FBgn0025383,189,173,144,141,91,53,56,48
FBgn0025381,2399,2850,2132,2599,2137,1120,1108,1086
FBgn0025394,480,464,300,336,385,148,209,161
FBgn0000482,937,1046,729,791,730,345,408,354
FBgn0001189,303,302,206,264,253,121,113,107
FBgn0029587,47,54,32,34,42,23,14,10
FBgn0024897,54,50,41,48,47,24,21,22
FBgn0025391,12,8,14,17,9,2,3,6
FBgn0025378,2,6,3,3,1,2,0,1
FBgn0023130,236,254,154,216,261,99,138,133
FBgn0023530,312,334,239,241,146,69,81,72
FBgn0025390,117,116,69,92,38,27,23,19
FBgn0025393,0,0,0,0,0,0,0,0
FBgn0003517,2280,2127,2138,2279,3245,1736,1775,1505
FBgn0044508,28,21,25,18,40,17,29,16
FBgn0025382,413,361,265,290,245,101,131,123
FBgn0052808,213,193,116,169,112,53,60,68
FBgn0027791,606,605,354,450,387,155,184,138
FBgn0027793,153,158,121,150,125,69,69,89
FBgn0052806,18,23,6,15,20,2,5,4
FBgn0026873,300,326,252,282,229,111,116,75
FBgn0023513,583,602,441,501,717,354,380,344
FBgn0014411,1119,1322,849,911,1450,711,724,722
FBgn0023514,756,846,686,756,708,359,396,348
FBgn0029594,626,606,522,460,378,184,221,161
FBgn0023519,565,558,463,511,439,241,232,207
FBgn0023509,384,391,276,284,277,122,141,120
FBgn0023510,645,635,478,447,531,306,296,243
FBgn0023508,509,609,419,514,525,265,269,260
FBgn0023522,243,276,176,212,309,123,177,124
FBgn0023521,81,99,62,79,55,27,38,36
FBgn0025627,290,310,311,325,236,133,139,102
FBgn0025630,942,1112,699,832,586,319,329,278
FBgn0025629,532,580,478,504,608,265,303,291
FBgn0025628,1204,1301,1251,1261,1047,573,570,513
FBgn0029596,212,185,197,216,106,58,44,46
FBgn0025626,753,820,625,690,723,358,384,343
FBgn0025625,244,221,162,154,105,76,65,66
FBgn0025631,2428,2392,2083,2345,1235,668,710,599
FBgn0026878,126,159,70,79,76,33,37,34
FBgn0000667,1502,1574,1110,1126,468,227,236,213
FBgn0003964,1046,1130,734,861,865,425,455,403
FBgn0023545,135,160,125,125,90,47,55,35
FBgn0023520,177,140,125,119,128,69,68,74
FBgn0023512,553,598,420,550,536,246,269,239
FBgn0023511,891,898,634,726,574,281,308,263
FBgn0052801,0,0,0,0,0,0,0,0
FBgn0023518,1080,1145,905,1024,1133,533,606,538
FBgn0026088,539,560,408,460,406,241,217,182
FBgn0026089,748,855,591,665,442,216,241,169
FBgn0023517,874,949,578,695,940,431,524,427
FBgn0023516,615,607,500,612,372,203,218,198
FBgn0023515,588,510,472,450,565,233,272,236
FBgn0028969,1965,2291,1793,2065,1505,747,738,734
FBgn0026090,776,871,649,711,373,178,207,194
FBgn0029590,5,7,0,3,2,0,0,0
FBgn0025624,550,692,550,590,583,292,274,268
FBgn0040395,4312,4544,3712,3901,3110,1437,1378,1388
FBgn0000382,1661,1655,1308,1270,969,456,483,430
FBgn0023507,665,655,927,915,393,262,216,257
FBgn0004654,1471,1678,1289,1272,1477,702,699,706
FBgn0023540,87,77,44,49,62,24,31,23
FBgn0025839,107,133,94,89,143,54,62,55
FBgn0011576,3,0,2,2,2,3,1,0
FBgn0015036,10,8,5,3,4,2,2,2
FBgn0003116,263,306,203,178,250,133,150,139
FBgn0040899,117,120,93,109,135,44,61,64
FBgn0040900,72,85,44,47,51,21,25,28
FBgn0024984,142,160,94,92,140,57,80,59
FBgn0023549,888,1236,1116,1191,418,235,237,201
FBgn0029606,14,15,4,7,6,1,2,2
FBgn0003048,1231,1302,862,939,1191,576,620,537
FBgn0000810,729,948,458,540,392,181,227,182
FBgn0023523,137,131,87,90,91,50,50,51
FBgn0023527,520,565,436,511,549,235,300,272
FBgn0040391,102,82,103,124,158,90,88,79
FBgn0053218,63,51,72,72,71,50,40,52
FBgn0003079,424,427,303,383,314,172,134,129
FBgn0003159,174,184,221,266,197,91,97,88
FBgn0040389,232,251,178,236,138,68,82,69
FBgn0044047,395,414,453,503,680,358,343,324
FBgn0040392,170,151,297,255,181,136,85,88
FBgn0023526,4360,4210,3410,3904,1676,695,922,701
FBgn0023529,616,748,546,653,754,423,377,367
FBgn0023528,630,765,513,539,533,225,249,221
FBgn0027296,240,250,138,186,223,102,127,79
FBgn0023524,42,39,35,37,20,10,6,8
FBgn0023525,86,69,69,60,58,28,34,32
FBgn0000377,427,437,274,314,283,144,159,127
FBgn0001330,257,287,207,222,362,178,177,163
FBgn0004397,1523,1751,1471,1389,1428,748,788,767
FBgn0023550,130,108,99,79,99,42,44,54
FBgn0029603,25,15,17,19,9,5,6,1
FBgn0023542,353,413,278,330,408,193,215,199
FBgn0023541,0,0,0,0,0,0,1,1
FBgn0005670,13,9,13,9,6,5,2,1
FBgn0004655,630,637,524,513,633,282,314,291
FBgn0013432,308,361,182,210,259,122,106,108
