Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2,Chd1_Ctrl1,Chd1_Auxin1,Chd1_Ctrl2,Chd1_Auxin2
FBgn0031081,1,6,3,2,7,5,16,6
FBgn0052826,96,208,116,130,856,773,1070,875
FBgn0031085,1,0,1,0,4,4,1,3
FBgn0062565,2,12,2,3,25,44,22,49
FBgn0031088,1,1,1,2,12,7,6,6
FBgn0041626,1,1,0,0,4,3,4,7
FBgn0040784,0,0,0,1,4,4,3,8
FBgn0031086,0,0,0,2,5,7,4,8
FBgn0031082,0,1,0,0,4,2,1,2
FBgn0031080,1,3,1,1,7,0,5,1
FBgn0052821,0,0,0,0,0,0,0,0
FBgn0053217,151,324,124,163,580,400,518,392
FBgn0052350,136,283,115,142,377,345,434,444
FBgn0024733,975,2020,1018,1041,2410,2126,2668,2268
FBgn0040372,311,575,262,285,742,1042,878,1085
FBgn0000316,83,169,95,103,166,218,233,237
FBgn0024989,45,68,30,38,110,127,106,147
FBgn0040371,19,45,15,18,28,34,30,26
FBgn0029521,19,33,11,9,15,28,28,25
FBgn0004034,36,50,26,37,216,391,303,478
FBgn0000022,7,5,10,2,6,10,7,13
FBgn0004170,3,12,7,4,11,14,8,9
FBgn0002561,2,11,4,7,10,12,3,13
FBgn0000137,4,13,8,6,6,5,7,10
FBgn0029522,0,0,0,0,0,0,0,0
FBgn0052817,30,51,25,18,86,109,54,55
FBgn0029524,19,41,29,21,39,67,42,53
FBgn0023536,43,105,59,69,117,156,109,133
FBgn0023534,49,84,43,47,100,217,113,197
FBgn0023535,23,32,19,35,41,59,58,52
FBgn0023537,579,1114,676,524,1600,1659,1677,1658
FBgn0029525,256,484,224,236,341,417,396,433
FBgn0029523,123,240,127,121,210,279,226,255
FBgn0010019,15,29,8,11,27,40,39,39
FBgn0011822,5,13,5,5,14,21,19,27
FBgn0052816,77,193,90,83,235,265,261,271
FBgn0040370,83,192,81,69,205,368,233,385
FBgn0040373,39,84,23,23,56,89,67,63
FBgn0000108,42,65,23,20,36,104,52,77
FBgn0025640,153,240,125,132,172,244,215,258
FBgn0025635,205,342,195,203,391,443,368,435
FBgn0001341,593,1183,564,580,662,762,737,833
FBgn0003575,573,1140,539,539,1265,1515,1266,1606
FBgn0025634,91,179,94,86,170,185,156,166
FBgn0025638,304,583,259,270,460,574,487,635
FBgn0040383,65,153,86,83,635,648,694,711
FBgn0040382,192,324,155,143,297,438,309,425
FBgn0027343,125,247,114,109,76,123,89,128
FBgn0025621,390,777,421,427,1044,1248,1213,1387
FBgn0029535,2,11,0,4,5,8,4,8
FBgn0026874,23,54,27,29,67,114,80,82
FBgn0025616,134,215,100,109,130,230,168,250
FBgn0015799,363,595,314,331,409,693,473,624
FBgn0025620,0,0,1,1,4,8,7,8
FBgn0015288,467,931,392,502,1022,1091,1029,1138
FBgn0029532,1,3,0,3,3,7,5,7
FBgn0029531,0,1,2,0,2,11,5,7
FBgn0025639,515,888,435,454,822,1029,882,1068
FBgn0002579,245,442,258,275,643,785,697,752
FBgn0026879,100,194,86,93,116,163,159,186
FBgn0029529,43,91,40,36,91,132,109,154
FBgn0025633,303,549,287,274,655,914,636,939
FBgn0040892,4,9,7,5,7,16,5,6
FBgn0040341,8,27,16,8,11,23,10,11
FBgn0029539,10,22,7,3,13,20,11,20
FBgn0040339,67,116,60,63,138,166,158,165
FBgn0052815,101,186,79,110,192,239,191,196
FBgn0040340,549,1102,542,559,510,702,675,713
FBgn0040347,168,324,148,141,299,383,348,423
FBgn0042146,0,1,0,0,2,0,0,0
FBgn0029552,1,1,0,2,0,1,4,1
FBgn0040337,83,150,83,78,123,196,159,225
FBgn0040398,438,911,462,521,1809,2451,2004,2595
FBgn0040365,0,0,0,0,1,1,2,3
FBgn0040397,238,412,241,207,736,830,658,932
FBgn0026143,275,512,217,231,271,340,303,374
FBgn0040351,7,7,1,8,8,12,1,7
FBgn0040338,0,9,4,2,3,17,2,15
FBgn0040350,8,11,6,3,15,16,18,8
FBgn0040349,8,12,6,6,12,8,6,8
FBgn0040348,104,199,94,93,167,280,192,255
FBgn0040346,157,271,135,128,237,350,281,342
FBgn0040342,62,89,48,54,126,136,171,136
FBgn0040345,75,144,70,83,124,137,137,133
FBgn0040343,6,13,4,3,9,12,5,8
FBgn0052814,3,10,3,5,2,3,4,9
FBgn0040364,54,114,51,50,113,162,109,175
FBgn0040362,2,7,5,4,7,7,6,6
FBgn0040361,6,5,6,4,8,10,12,3
FBgn0040360,4,8,1,3,11,10,12,9
FBgn0040359,4,20,7,6,40,25,21,20
FBgn0040358,9,36,9,21,51,46,65,45
FBgn0029568,13,21,10,6,18,41,21,32
FBgn0040357,4,7,2,6,15,19,13,16
FBgn0040367,38,62,29,31,105,117,98,74
FBgn0025642,79,160,75,78,114,361,111,432
FBgn0004650,16,16,6,9,16,27,20,31
FBgn0024362,172,354,153,182,267,311,286,369
FBgn0024361,23,63,26,28,47,47,37,46
FBgn0024364,333,628,279,304,291,299,315,358
FBgn0029573,9,2,5,3,11,21,17,15
FBgn0024987,353,637,298,274,659,767,696,838
FBgn0023169,201,373,204,173,359,435,373,454
FBgn0052813,302,540,336,262,1088,1113,1207,1289
FBgn0024985,228,464,274,262,439,501,460,497
FBgn0027794,117,216,110,111,156,225,203,224
FBgn0027795,39,61,25,26,71,79,74,70
FBgn0024986,102,199,109,127,230,310,235,301
FBgn0000826,66,151,74,79,98,126,101,116
FBgn0024365,342,595,279,307,460,581,520,604
FBgn0024360,121,210,80,109,138,194,156,209
FBgn0024366,5,22,9,4,19,15,6,16
FBgn0025641,66,113,51,56,141,302,170,270
FBgn0052811,3,2,0,0,0,0,0,1
FBgn0028550,584,1135,601,551,1793,2126,1867,2142
FBgn0026876,198,395,228,210,339,422,398,465
FBgn0040366,90,208,92,78,126,220,167,203
FBgn0040363,4,9,5,3,10,9,9,9
FBgn0040368,0,2,1,0,4,3,5,4
FBgn0026872,306,538,305,240,543,779,649,872
FBgn0029580,49,83,41,41,135,189,123,210
FBgn0025383,56,91,48,53,144,189,141,173
FBgn0025381,1108,2137,1086,1120,2132,2399,2599,2850
FBgn0025394,209,385,161,148,300,480,336,464
FBgn0000482,408,730,354,345,729,937,791,1046
FBgn0001189,113,253,107,121,206,303,264,302
FBgn0029587,14,42,10,23,32,47,34,54
FBgn0024897,21,47,22,24,41,54,48,50
FBgn0025391,3,9,6,2,14,12,17,8
FBgn0025378,0,1,1,2,3,2,3,6
FBgn0023130,138,261,133,99,154,236,216,254
FBgn0023530,81,146,72,69,239,312,241,334
FBgn0025390,23,38,19,27,69,117,92,116
FBgn0025393,0,0,0,0,0,0,0,0
FBgn0003517,1775,3245,1505,1736,2138,2280,2279,2127
FBgn0044508,29,40,16,17,25,28,18,21
FBgn0025382,131,245,123,101,265,413,290,361
FBgn0052808,60,112,68,53,116,213,169,193
FBgn0027791,184,387,138,155,354,606,450,605
FBgn0027793,69,125,89,69,121,153,150,158
FBgn0052806,5,20,4,2,6,18,15,23
FBgn0026873,116,229,75,111,252,300,282,326
FBgn0023513,380,717,344,354,441,583,501,602
FBgn0014411,724,1450,722,711,849,1119,911,1322
FBgn0023514,396,708,348,359,686,756,756,846
FBgn0029594,221,378,161,184,522,626,460,606
FBgn0023519,232,439,207,241,463,565,511,558
FBgn0023509,141,277,120,122,276,384,284,391
FBgn0023510,296,531,243,306,478,645,447,635
FBgn0023508,269,525,260,265,419,509,514,609
FBgn0023522,177,309,124,123,176,243,212,276
FBgn0023521,38,55,36,27,62,81,79,99
FBgn0025627,139,236,102,133,311,290,325,310
FBgn0025630,329,586,278,319,699,942,832,1112
FBgn0025629,303,608,291,265,478,532,504,580
FBgn0025628,570,1047,513,573,1251,1204,1261,1301
FBgn0029596,44,106,46,58,197,212,216,185
FBgn0025626,384,723,343,358,625,753,690,820
FBgn0025625,65,105,66,76,162,244,154,221
FBgn0025631,710,1235,599,668,2083,2428,2345,2392
FBgn0026878,37,76,34,33,70,126,79,159
FBgn0000667,236,468,213,227,1110,1502,1126,1574
FBgn0003964,455,865,403,425,734,1046,861,1130
FBgn0023545,55,90,35,47,125,135,125,160
FBgn0023520,68,128,74,69,125,177,119,140
FBgn0023512,269,536,239,246,420,553,550,598
FBgn0023511,308,574,263,281,634,891,726,898
FBgn0052801,0,0,0,0,0,0,0,0
FBgn0023518,606,1133,538,533,905,1080,1024,1145
FBgn0026088,217,406,182,241,408,539,460,560
FBgn0026089,241,442,169,216,591,748,665,855
FBgn0023517,524,940,427,431,578,874,695,949
FBgn0023516,218,372,198,203,500,615,612,607
FBgn0023515,272,565,236,233,472,588,450,510
FBgn0028969,738,1505,734,747,1793,1965,2065,2291
FBgn0026090,207,373,194,178,649,776,711,871
FBgn0029590,0,2,0,0,0,5,3,7
FBgn0025624,274,583,268,292,550,550,590,692
FBgn0040395,1378,3110,1388,1437,3712,4312,3901,4544
FBgn0000382,483,969,430,456,1308,1661,1270,1655
FBgn0023507,216,393,257,262,927,665,915,655
FBgn0004654,699,1477,706,702,1289,1471,1272,1678
FBgn0023540,31,62,23,24,44,87,49,77
FBgn0025839,62,143,55,54,94,107,89,133
FBgn0011576,1,2,0,3,2,3,2,0
FBgn0015036,2,4,2,2,5,10,3,8
FBgn0003116,150,250,139,133,203,263,178,306
FBgn0040899,61,135,64,44,93,117,109,120
FBgn0040900,25,51,28,21,44,72,47,85
FBgn0024984,80,140,59,57,94,142,92,160
FBgn0023549,237,418,201,235,1116,888,1191,1236
FBgn0029606,2,6,2,1,4,14,7,15
FBgn0003048,620,1191,537,576,862,1231,939,1302
FBgn0000810,227,392,182,181,458,729,540,948
FBgn0023523,50,91,51,50,87,137,90,131
FBgn0023527,300,549,272,235,436,520,511,565
FBgn0040391,88,158,79,90,103,102,124,82
FBgn0053218,40,71,52,50,72,63,72,51
FBgn0003079,134,314,129,172,303,424,383,427
FBgn0003159,97,197,88,91,221,174,266,184
FBgn0040389,82,138,69,68,178,232,236,251
FBgn0044047,343,680,324,358,453,395,503,414
FBgn0040392,85,181,88,136,297,170,255,151
FBgn0023526,922,1676,701,695,3410,4360,3904,4210
FBgn0023529,377,754,367,423,546,616,653,748
FBgn0023528,249,533,221,225,513,630,539,765
FBgn0027296,127,223,79,102,138,240,186,250
FBgn0023524,6,20,8,10,35,42,37,39
FBgn0023525,34,58,32,28,69,86,60,69
FBgn0000377,159,283,127,144,274,427,314,437
FBgn0001330,177,362,163,178,207,257,222,287
FBgn0004397,788,1428,767,748,1471,1523,1389,1751
FBgn0023550,44,99,54,42,99,130,79,108
FBgn0029603,6,9,1,5,17,25,19,15
FBgn0023542,215,408,199,193,278,353,330,413
FBgn0023541,1,0,1,0,0,0,0,0
FBgn0005670,2,6,1,5,13,13,9,9
FBgn0004655,314,633,291,282,524,630,513,637
FBgn0013432,106,259,108,122,182,308,210,361
FBgn0004861,435,920,427,402,1823,1934,1804,1948
FBgn0004860,487,996,534,509,1829,2013,1948,2030
FBgn0040394,287,564,260,298,483,550,544,605
FBgn0040376,27,51,31,31,82,92,62,82
FBgn0040066,342,635,274,297,410,414,445,460
FBgn0001404,540,1036,557,504,1435,1461,1367,1423
FBgn0040336,74,135,78,59,140,163,148,163
FBgn0040333,39,82,33,45,76,83,104,87
FBgn0040334,83,168,78,86,231,285,248,271
FBgn0029629,225,473,221,242,519,652,659,736
FBgn0011566,81,150,54,78,178,198,213,209
FBgn0011606,390,678,317,331,532,574,479,480
FBgn0040375,442,948,492,436,860,884,906,958
FBgn0040377,8,6,7,9,24,48,26,57
FBgn0040388,298,590,336,273,872,400,1034,471
FBgn0003714,75,170,69,75,121,145,151,137
FBgn0001150,20,24,8,15,71,70,111,84
FBgn0052797,1,1,6,2,3,2,0,4
FBgn0040385,1,3,1,1,3,2,6,3
FBgn0003371,1148,2118,1107,1056,4159,3892,4529,4078
FBgn0003068,124,168,101,92,381,650,396,780
FBgn0024993,97,142,76,96,173,241,207,248
FBgn0024996,152,305,133,142,309,357,361,419
FBgn0024997,120,197,102,128,299,332,338,333
FBgn0024991,326,515,308,277,542,625,479,603
FBgn0000928,168,291,167,154,436,440,444,409
FBgn0000927,233,492,177,253,583,647,696,714
FBgn0000520,286,459,256,229,463,675,513,687
FBgn0024975,99,161,94,86,172,190,213,199
FBgn0040356,4,1,1,0,6,0,6,4
FBgn0003996,6,4,6,7,7,14,16,17
FBgn0040384,27,53,36,24,81,71,68,72
FBgn0024980,54,102,36,28,270,209,235,272
FBgn0000376,275,488,234,223,438,488,490,489
FBgn0024973,353,693,291,307,567,677,718,723
FBgn0024998,121,250,95,107,227,246,240,307
FBgn0024995,47,90,56,43,151,132,183,165
FBgn0024994,230,413,214,232,305,412,399,404
FBgn0024992,125,248,119,134,595,755,701,885
FBgn0000092,18,23,16,12,64,94,67,112
FBgn0025838,4,4,4,4,4,4,11,10
FBgn0011276,4,8,1,2,10,17,8,17
FBgn0004647,1527,3026,1417,1360,4971,4204,5572,4202
FBgn0040396,61,120,48,54,131,116,123,148
FBgn0000479,832,1535,851,854,3714,3025,4068,3015
FBgn0002933,1,5,3,0,1,0,1,4
FBgn0003374,3,1,0,1,2,4,4,5
FBgn0029660,84,139,56,99,119,165,119,173
FBgn0029662,145,274,117,148,564,459,614,505
FBgn0029661,94,166,54,74,119,148,112,166
FBgn0029659,61,113,35,58,66,95,77,123
FBgn0029658,38,82,27,33,81,213,112,194
FBgn0052493,109,166,73,44,324,346,391,418
FBgn0029657,220,432,226,216,697,705,795,736
FBgn0003086,3,2,0,0,1,2,0,2
FBgn0010296,1,1,2,1,0,0,2,0
FBgn0010295,2,6,1,0,1,1,1,0
FBgn0010294,1,2,0,0,1,0,2,2
FBgn0040393,2,3,1,2,2,6,5,2
FBgn0000644,3,9,4,1,9,6,8,13
FBgn0028746,176,314,155,140,466,416,470,493
FBgn0040355,1,0,3,4,5,7,6,9
FBgn0052793,2,4,0,1,8,5,3,6
FBgn0029642,1,0,1,1,0,0,2,3
FBgn0025645,0,0,0,2,2,1,1,0
FBgn0029643,0,1,2,3,4,3,1,3
FBgn0029644,0,0,0,0,1,2,0,2
FBgn0029645,0,0,2,2,1,5,4,2
FBgn0029646,1,0,1,0,0,3,2,2
FBgn0029647,1,1,1,0,3,0,0,0
FBgn0029648,77,121,70,80,200,253,228,275
FBgn0028369,45,113,66,61,396,313,341,308
FBgn0029649,0,1,3,0,0,2,0,1
FBgn0003285,96,234,147,124,505,657,618,678
FBgn0025644,2,0,1,0,1,1,3,0
FBgn0029639,13,30,34,24,26,21,16,12
FBgn0040354,0,2,3,1,0,3,1,5
FBgn0040353,0,0,1,1,2,4,2,2
FBgn0040352,2,1,0,1,5,8,4,4
FBgn0029664,187,280,160,167,606,755,691,896
FBgn0029666,248,541,231,247,555,623,551,692
FBgn0029669,12,22,7,8,28,25,27,27
FBgn0052792,129,233,119,139,162,202,163,178
FBgn0044046,5,12,3,9,35,31,41,25
FBgn0023215,267,529,241,240,1065,959,1015,952
FBgn0015286,390,678,395,344,1546,1557,1601,1624
FBgn0023216,220,445,225,178,493,513,552,594
FBgn0029672,260,554,202,234,331,329,362,343
FBgn0052791,190,357,150,167,345,381,382,430
FBgn0029667,75,128,65,69,132,213,128,205
FBgn0029665,104,204,90,96,298,429,368,463
FBgn0029663,120,209,95,112,137,377,202,374
FBgn0052785,95,214,65,90,273,206,315,238
FBgn0025118,122,223,141,128,785,799,906,930
FBgn0028491,811,1712,827,915,2040,2925,1828,2545
FBgn0029681,4,3,2,4,29,41,25,30
FBgn0029686,89,162,84,91,219,262,264,290
FBgn0052786,0,0,1,0,0,2,1,1
FBgn0052783,2,8,5,1,6,5,2,2
FBgn0029687,218,419,166,204,572,604,628,595
FBgn0029690,0,0,0,0,4,2,2,2
FBgn0029689,195,325,178,188,803,872,934,873
FBgn0029688,497,885,479,480,762,773,915,906
FBgn0029685,278,565,280,254,548,592,643,688
FBgn0019661,10,17,10,14,16,56,20,53
FBgn0029694,12,27,14,10,30,33,51,32
FBgn0000221,68,123,57,60,171,200,184,197
FBgn0026084,690,1275,620,658,2634,2706,2772,2742
FBgn0026085,42,87,35,46,141,159,129,151
FBgn0026083,582,1073,524,554,1110,1339,1243,1517
FBgn0066114,111,199,93,119,215,254,262,282
FBgn0029697,8,13,10,8,22,51,11,34
FBgn0029701,2,7,2,4,6,24,5,20
FBgn0029702,13,80,12,17,32,129,40,79
FBgn0029706,92,188,84,88,264,279,291,271
FBgn0029705,24,54,23,21,65,20,47,19
FBgn0040907,68,133,68,68,154,193,166,196
FBgn0002707,101,201,82,84,216,289,218,356
FBgn0040906,6,11,4,3,6,17,11,12
FBgn0029703,2,3,3,1,1,6,3,3
FBgn0040905,6,12,2,3,42,54,9,41
FBgn0040904,12,12,5,2,13,39,9,34
FBgn0029700,4,5,2,1,7,24,7,15
FBgn0052774,10,10,5,4,15,55,19,34
FBgn0041252,4,8,2,3,1,13,7,10
FBgn0029696,0,2,1,1,2,8,1,3
FBgn0000635,228,516,307,271,652,631,714,657
FBgn0026080,149,306,156,142,429,419,403,438
FBgn0026079,186,326,179,178,258,289,311,308
FBgn0004832,43,98,46,39,98,96,78,103
FBgn0029693,183,335,175,175,267,361,303,385
FBgn0000179,17,21,14,13,58,54,43,57
FBgn0029708,51,113,54,46,137,200,186,183
FBgn0029709,245,427,215,197,430,392,486,481
FBgn0029710,23,36,25,14,48,74,70,76
FBgn0029712,34,74,35,40,105,109,118,111
FBgn0029714,190,355,151,154,293,348,409,375
FBgn0029716,0,0,2,0,1,1,0,0
FBgn0022768,426,783,315,353,1137,736,1248,750
FBgn0029715,187,300,157,174,300,295,312,340
FBgn0029713,60,108,52,54,129,139,126,131
FBgn0029711,73,163,71,88,235,280,262,287
FBgn0003210,225,421,158,209,382,441,475,497
FBgn0052773,2,2,1,0,2,7,3,2
FBgn0011760,514,935,489,472,2488,2438,2578,2498
FBgn0028325,208,388,174,187,510,518,537,524
FBgn0029722,35,58,41,34,147,254,196,263
FBgn0029727,0,1,0,0,3,4,0,1
FBgn0029729,1,0,0,2,1,3,0,1
FBgn0029730,3,5,0,1,0,3,0,1
FBgn0029733,2,7,2,2,9,11,8,9
FBgn0052772,169,348,167,151,633,566,628,647
FBgn0029737,100,185,101,95,446,573,501,642
FBgn0004368,349,666,414,336,1581,1707,2448,2789
FBgn0029740,0,0,0,1,1,0,0,1
FBgn0061196,0,1,0,0,0,0,1,1
FBgn0029728,0,4,2,2,1,6,7,4
FBgn0029726,0,1,0,1,0,2,1,0
FBgn0029725,1,1,1,0,0,0,0,1
FBgn0025679,0,1,2,0,2,3,1,5
FBgn0029724,0,0,0,0,0,2,3,1
FBgn0029745,0,5,1,1,3,5,0,5
FBgn0029746,0,0,0,0,0,0,0,0
FBgn0003449,60,118,58,64,192,152,142,172
FBgn0011761,1,5,2,1,11,16,11,15
FBgn0029753,1,2,1,1,7,2,0,2
FBgn0029755,173,295,153,118,190,188,194,175
FBgn0014024,212,414,212,248,324,335,336,319
FBgn0029754,1,6,1,2,15,8,11,10
FBgn0029752,25,31,18,21,78,93,69,79
FBgn0029751,30,38,17,32,70,83,67,69
FBgn0029750,1,8,1,5,8,21,17,11
FBgn0029747,0,3,0,3,1,7,6,11
FBgn0052767,245,571,222,257,883,889,846,952
FBgn0026751,121,231,116,104,282,354,334,460
FBgn0010014,8,28,10,11,33,44,31,42
FBgn0029761,17,46,18,30,69,42,48,43
FBgn0029763,346,611,329,315,577,635,701,670
FBgn0029765,9,8,6,9,49,40,40,40
FBgn0029766,677,1275,659,715,2991,3671,3534,4369
FBgn0029768,4,2,1,1,6,4,6,7
FBgn0029770,2,4,2,1,13,3,3,8
FBgn0029771,79,161,74,79,235,219,231,216
FBgn0026702,253,487,227,253,313,341,327,346
FBgn0004687,277,589,235,300,1022,968,1117,1126
FBgn0029778,78,152,55,80,235,229,317,280
FBgn0052762,1,6,0,1,3,3,5,6
FBgn0029769,0,4,3,1,2,3,2,4
FBgn0029762,0,7,2,1,8,27,11,14
FBgn0029756,86,152,68,84,154,180,184,202
FBgn0028474,382,755,365,398,900,1020,1045,1012
FBgn0029785,573,1041,555,538,1732,1802,1896,1872
FBgn0003747,1,4,0,4,19,14,11,10
FBgn0000394,36,67,32,42,85,95,98,110
FBgn0029791,5,10,4,10,45,38,47,37
FBgn0029795,34,84,43,48,150,177,177,203
FBgn0029798,129,210,115,125,208,210,200,201
FBgn0029799,44,84,42,60,87,115,89,100
FBgn0029801,159,261,127,117,284,333,302,311
FBgn0029809,19,41,17,17,37,57,36,42
FBgn0029810,3,4,0,0,8,8,9,7
FBgn0029811,0,0,0,0,3,2,1,2
FBgn0029812,2,6,2,0,1,4,2,4
FBgn0029814,5,10,1,1,13,8,8,10
FBgn0052761,0,0,0,0,4,1,11,7
FBgn0029816,5,7,0,0,3,4,2,3
FBgn0029817,8,11,7,2,30,47,27,27
FBgn0029820,46,101,67,68,218,256,227,295
FBgn0029821,27,55,32,40,55,61,45,62
FBgn0029822,524,1027,507,605,1298,1419,1445,1451
FBgn0029823,1451,2797,1412,1398,3856,4241,4257,4449
