Geneid,S2_Ctrl1,S2_Auxin1,S2_Ctrl2,S2_Auxin2
FBgn0031081,1,6,3,2
FBgn0052826,96,208,116,130
FBgn0031085,1,0,1,0
FBgn0062565,2,12,2,3
FBgn0031088,1,1,1,2
FBgn0041626,1,1,0,0
FBgn0040784,0,0,0,1
FBgn0031086,0,0,0,2
FBgn0031082,0,1,0,0
FBgn0031080,1,3,1,1
FBgn0052821,0,0,0,0
FBgn0053217,151,324,124,163
FBgn0052350,136,283,115,142
FBgn0024733,975,2020,1018,1041
FBgn0040372,311,575,262,285
FBgn0000316,83,169,95,103
FBgn0024989,45,68,30,38
FBgn0040371,19,45,15,18
FBgn0029521,19,33,11,9
FBgn0004034,36,50,26,37
FBgn0000022,7,5,10,2
FBgn0004170,3,12,7,4
FBgn0002561,2,11,4,7
FBgn0000137,4,13,8,6
FBgn0029522,0,0,0,0
FBgn0052817,30,51,25,18
FBgn0029524,19,41,29,21
FBgn0023536,43,105,59,69
FBgn0023534,49,84,43,47
FBgn0023535,23,32,19,35
FBgn0023537,579,1114,676,524
FBgn0029525,256,484,224,236
FBgn0029523,123,240,127,121
FBgn0010019,15,29,8,11
FBgn0011822,5,13,5,5
FBgn0052816,77,193,90,83
FBgn0040370,83,192,81,69
FBgn0040373,39,84,23,23
FBgn0000108,42,65,23,20
FBgn0025640,153,240,125,132
FBgn0025635,205,342,195,203
FBgn0001341,593,1183,564,580
FBgn0003575,573,1140,539,539
FBgn0025634,91,179,94,86
FBgn0025638,304,583,259,270
FBgn0040383,65,153,86,83
FBgn0040382,192,324,155,143
FBgn0027343,125,247,114,109
FBgn0025621,390,777,421,427
FBgn0029535,2,11,0,4
FBgn0026874,23,54,27,29
FBgn0025616,134,215,100,109
FBgn0015799,363,595,314,331
FBgn0025620,0,0,1,1
FBgn0015288,467,931,392,502
FBgn0029532,1,3,0,3
FBgn0029531,0,1,2,0
FBgn0025639,515,888,435,454
FBgn0002579,245,442,258,275
FBgn0026879,100,194,86,93
FBgn0029529,43,91,40,36
FBgn0025633,303,549,287,274
FBgn0040892,4,9,7,5
FBgn0040341,8,27,16,8
FBgn0029539,10,22,7,3
FBgn0040339,67,116,60,63
FBgn0052815,101,186,79,110
FBgn0040340,549,1102,542,559
FBgn0040347,168,324,148,141
FBgn0042146,0,1,0,0
FBgn0029552,1,1,0,2
FBgn0040337,83,150,83,78
FBgn0040398,438,911,462,521
FBgn0040365,0,0,0,0
FBgn0040397,238,412,241,207
FBgn0026143,275,512,217,231
FBgn0040351,7,7,1,8
FBgn0040338,0,9,4,2
FBgn0040350,8,11,6,3
FBgn0040349,8,12,6,6
