"","log2FoldChange","padj"
"FBgn0053217",-0.580096216254009,0.00223503657113364
"FBgn0004034",0.642153359291257,0.00448800104484852
"FBgn0023534",0.856551851263927,0.00316268991550402
"FBgn0040370",0.677741869073394,0.00138597731071907
"FBgn0025642",1.70865612556737,1.72839289322573e-15
"FBgn0025641",0.778466262868537,0.00186296050975025
"FBgn0023507",-0.587184161658583,5.31567829103514e-05
"FBgn0000810",0.642601412863944,0.000156441660301974
"FBgn0040392",-0.890596165330655,0.000416099372713634
"FBgn0013432",0.665949278321466,0.00398575961460707
"FBgn0040388",-1.23398533701209,3.06400995784529e-18
"FBgn0003068",0.772201461785522,2.4383533663312e-06
"FBgn0029658",0.978114536930917,0.00104372378281561
"FBgn0029663",1.04960404450242,3.52256343030261e-06
"FBgn0029702",1.43561978671938,0.00183267020895884
"FBgn0029705",-1.6353406823545,0.00588457916342868
"FBgn0022768",-0.786842145343642,2.71630098153884e-10
"FBgn0029819",1.35879633455079,2.9767934538399e-08
"FBgn0052755",0.932379889840738,0.00279187164226068
"FBgn0029838",1.112038538636,0.000122029215106059
"FBgn0000442",-2.08150439512518,2.34481373561077e-23
"FBgn0002931",-1.00992100066799,9.13840933443493e-21
"FBgn0036993",-1.05747068210595,2.88983763802714e-16
"FBgn0036984",1.05113565220176,1.37158456850383e-05
"FBgn0053056",0.957749807413742,2.16143403768676e-06
"FBgn0037071",0.874912135246867,1.04651112800025e-09
"FBgn0052436",1.11628424029885,6.58432162941426e-05
"FBgn0052440",2.86709212663424,4.46054553470534e-12
"FBgn0037098",0.628617223449379,4.80084006195525e-07
"FBgn0037082",0.627528109146706,2.64631624206956e-05
"FBgn0037076",0.724364964691594,1.17314800819301e-05
"FBgn0037063",0.606607006155142,0.000125255309263972
"FBgn0052446",0.992009572685484,1.32197284897199e-05
"FBgn0000560",-2.11928554371554,2.5972996294815e-08
"FBgn0022936",0.789172198597555,8.53556781103707e-14
"FBgn0037126",-1.88506824242417,1.46062972987731e-13
"FBgn0037120",0.74679978890887,0.000151014898562242
"FBgn0037144",-0.831248974713631,3.02792227444286e-13
"FBgn0037146",-2.15776585252566,0.000708128978163383
"FBgn0000045",-2.30268670671318,1.45056636624117e-06
"FBgn0037151",0.849604156814735,2.2473836170876e-10
"FBgn0037150",0.706910070040492,3.61861045727489e-07
"FBgn0037141",0.588751453858812,0.000134837417687683
"FBgn0052449",-1.20037951093919,0.000160987806473211
"FBgn0037166",-1.17713647079494,0.00252201464850719
"FBgn0037163",-2.17623922285613,6.48952213171271e-13
"FBgn0037156",0.61708001368679,0.000473159241191954
"FBgn0053169",0.826619466337938,0.000138265996196323
"FBgn0037200",0.821407499573844,0.00514619187223519
"FBgn0037202",0.932884057540875,0.00206046916361824
"FBgn0010348",0.808068450922898,1.82775257667854e-16
"FBgn0037199",0.639519117286977,1.55210612157544e-05
"FBgn0046878",-3.10147221731286,0.00190084689442322
"FBgn0010051",-1.09716988520089,2.8887648736461e-31
"FBgn0051549",0.652722191587952,9.47240414732207e-05
"FBgn0004878",-1.66247565839324,1.14288778260257e-14
"FBgn0010399",-1.43020118550806,0.00142004310651985
"FBgn0040466",-1.409476609672,0.000754538022170731
"FBgn0016076",-0.970912376259515,7.17717982049835e-26
"FBgn0031734",-1.6060952880019,2.51015412810329e-07
"FBgn0051642",1.03544039464076,2.87991181502287e-05
"FBgn0031805",-1.86816621927502,9.97337673174491e-82
"FBgn0043854",-1.73165231252174,1.80429545566002e-14
"FBgn0031816",-0.674793628430687,1.82198001709004e-11
"FBgn0031814",-0.68918166264818,2.5937878924142e-05
"FBgn0031887",-0.774181923621363,1.37015304503108e-05
"FBgn0031914",-1.02562331119692,2.93237516290174e-23
"FBgn0031948",-0.69292992875986,5.08878367292449e-09
"FBgn0031937",-1.14641926320384,2.01066613111792e-14
"FBgn0031974",-1.08664461592022,2.43720938109368e-16
"FBgn0031996",0.934651445211742,2.32076732692203e-06
"FBgn0031997",0.868318797709408,1.14893259480509e-05
"FBgn0015299",0.785089765310463,2.44606970125752e-05
