"","log2FoldChange","padj"
"FBgn0053217",-0.580103839823499,0.00223392947250886
"FBgn0004034",0.642144032991341,0.0044873358798333
"FBgn0023534",0.856543343894786,0.00316628906892541
"FBgn0040370",0.67773326099854,0.00138692773149852
"FBgn0025642",1.70864784348444,1.73265285014827e-15
"FBgn0025641",0.77845755897731,0.00186475154598937
"FBgn0023507",-0.587192168007329,5.29899328112949e-05
"FBgn0000810",0.642592670539751,0.000156531871587686
"FBgn0040392",-0.890603742666789,0.000415957678848549
"FBgn0013432",0.665940612631594,0.00398457354936563
"FBgn0040388",-1.23399409486312,3.04691191399324e-18
"FBgn0003068",0.772193210323971,2.43667395102158e-06
"FBgn0029658",0.978105616876711,0.00104513319848395
"FBgn0029663",1.0495947254236,3.51712399256766e-06
"FBgn0029702",1.43561132855299,0.00183533910398965
"FBgn0029705",-1.63534798545575,0.00589188030949258
"FBgn0022768",-0.786850638232853,2.7008841418353e-10
"FBgn0029819",1.3587889300263,2.97965229960337e-08
"FBgn0052755",0.932371044935262,0.00279229750119463
"FBgn0029838",1.11203002166804,0.000122232809060937
"FBgn0000442",-2.08151352057447,2.34979433987502e-23
"FBgn0002931",-1.00992876574642,8.95311173483489e-21
"FBgn0036993",-1.05747960739333,2.86715602578262e-16
"FBgn0036984",1.05112726171893,1.37366472182571e-05
"FBgn0053056",0.957742419555815,2.16174360119047e-06
"FBgn0037071",0.874903859487808,1.04412258584131e-09
"FBgn0052436",1.11627581991716,6.59531508269882e-05
"FBgn0052440",2.8670834815081,4.47768677125131e-12
"FBgn0037098",0.628608649210298,4.78449995543287e-07
"FBgn0037082",0.627519376065359,2.64373415089401e-05
"FBgn0037076",0.724356943048648,1.17250307682316e-05
"FBgn0037063",0.606598490682804,0.000125157533281805
"FBgn0052446",0.992000337592648,1.32359466876762e-05
"FBgn0000560",-2.11929283338698,2.60439559947474e-08
"FBgn0022936",0.789163543998569,8.44196133401384e-14
"FBgn0037126",-1.88507623938771,1.464715121662e-13
"FBgn0037120",0.746791521463433,0.000151006970500946
"FBgn0037144",-0.831258227995312,2.99412988303242e-13
"FBgn0037146",-2.15777522120127,0.000709260364501698
"FBgn0000045",-2.30269288156348,1.45376357345883e-06
"FBgn0037151",0.849595480937791,2.23839839951707e-10
"FBgn0037150",0.706901354014254,3.61010644865554e-07
"FBgn0037141",0.588742503608903,0.000134742416139993
"FBgn0052449",-1.20038812901248,0.000160976845611732
"FBgn0037166",-1.17714525067411,0.00252519691162259
"FBgn0037163",-2.17624803607029,6.51344079707382e-13
"FBgn0037156",0.617071805715888,0.000473149944743065
"FBgn0053169",0.826610158342601,0.000138362731663375
"FBgn0037200",0.821399133610305,0.00514636934636307
"FBgn0037202",0.932875528149056,0.00206308799900163
"FBgn0010348",0.808059888529838,1.79707753946162e-16
"FBgn0037199",0.639510611885147,1.55375004296394e-05
"FBgn0046878",-3.1014804126534,0.00190328843914586
"FBgn0010051",-1.09717802488026,2.78253660580372e-31
"FBgn0051549",0.652713296718783,9.46877289671158e-05
"FBgn0004878",-1.66248436416961,1.1453542052383e-14
"FBgn0010399",-1.43020981811072,0.00142210615934315
"FBgn0040466",-1.4094855490263,0.000755683914300171
"FBgn0016076",-0.970920887455873,6.95252346016544e-26
"FBgn0031734",-1.60610461227688,2.51446849759525e-07
"FBgn0051642",1.03543209918315,2.88417604040954e-05
"FBgn0031805",-1.86817466677927,9.17754162344889e-82
"FBgn0043854",-1.73166165483879,1.79172640003027e-14
"FBgn0031816",-0.674802202037608,1.79846642833843e-11
"FBgn0031814",-0.689190817631654,2.59049935278262e-05
"FBgn0031887",-0.774189611402063,1.36743332608295e-05
"FBgn0031914",-1.02563193163578,2.86523091349084e-23
"FBgn0031948",-0.691234506498979,5.271537181826e-09
"FBgn0031937",-1.14916103649685,1.49405621055312e-14
"FBgn0031974",-1.08665330775432,2.41708690526633e-16
"FBgn0031996",0.934643058844889,2.32279940520777e-06
"FBgn0031997",0.868309893249716,1.14733124670683e-05
"FBgn0015299",0.785080927577369,2.44705142218802e-05
"FBgn0032002",1.04297128578912,5.36016684505647e-05
"FBgn0032025",-1.04791810978039,9.65801502832882e-06
"FBgn0032000",0.829637936228492,1.64500389759043e-05
"FBgn0003607",0.680671330041003,2.15976075182756e-06
"FBgn0051896",-0.685362865869503,4.71464493114953e-07
"FBgn0028394",-0.940302864999186,2.17914066016106e-17
"FBgn0011259",-1.68276651582046,9.8398600164972e-28
