"","id","chr","strand","gene_name","log2FoldChange","padj","group"
"22","FBgn0002563","chr2L","+","Lsp1beta",12.5359596262076,4.63504995333063e-08,"Autosome"
"166","FBgn0037176","chr3L","+","CG14456",8.9750782316026,5.50264638849142e-07,"Autosome"
"87","FBgn0028583","chrX","-","lcs",7.25762345245765,7.20225074902e-09,"chrX"
"281","FBgn0283461","chr3L","+","Drs",6.53233325724215,4.56585002806261e-18,"Autosome"
"232","FBgn0085582","chr2R","-","lncRNA:CR41257",6.07324060686538,0.0069781174323537,"Autosome"
"155","FBgn0035789","chr3L","+","mthl6",5.81898861496636,8.11267217887884e-05,"Autosome"
"276","FBgn0267505","chrrDNA","+","pre-rRNA:CR45845",5.55959538881214,8.07539977896682e-53,"Autosome"
"231","FBgn0085356","chrX","-","CG34327",5.14874141732905,8.58310572194837e-05,"chrX"
"177","FBgn0038914","chr3R","-","fit",4.82050756754049,2.10360245823147e-06,"Autosome"
"226","FBgn0065048","chr2R","-","snoRNA:U3:54Aa",4.01565356610706,1.75607319736596e-65,"Autosome"
"132","FBgn0033730","chr2R","+","Cpr49Ag",3.98671810021812,4.88573961639252e-12,"Autosome"
"160","FBgn0036619","chr3L","-","Cpr72Ec",3.87489536130733,2.66169803030097e-79,"Autosome"
"62","FBgn0015035","chr2L","-","Cyp4e3",3.48524508377315,1.58797057566014e-06,"Autosome"
"99","FBgn0030617","chrX","-","CG9095",3.46303960388941,0.000432480241146956,"chrX"
"161","FBgn0036679","chr3L","-","CG13022",3.34443382958726,0.00554496901249122,"Autosome"
"275","FBgn0267013","chr2L","+","lncRNA:CR45457",3.2936446010571,8.68870470533532e-05,"Autosome"
"253","FBgn0261575","chr3R","-","tobi",3.25908084100585,1.85281551551071e-08,"Autosome"
"227","FBgn0065055","chr2L","-","snoRNA:Psi28S-2648",3.09209099219028,0.000935636484119934,"Autosome"
"43","FBgn0010385","chr2R","-","Def",3.03476627801288,0.00025699508858881,"Autosome"
"212","FBgn0050489","chr2R","-","Cyp12d1-p",2.93380487308665,0.00115352540822294,"Autosome"
"183","FBgn0039298","chr3R","+","to",2.79579631457453,3.96550787127164e-20,"Autosome"
"206","FBgn0043578","chr3L","-","PGRP-SB1",2.7826996467913,2.04956543739161e-16,"Autosome"
"137","FBgn0033949","chr2R","+","Had2",2.66530238726583,0.00236842178295985,"Autosome"
"208","FBgn0044048","chr3L","-","Ilp5",2.57782504748863,0.00344270540073582,"Autosome"
"181","FBgn0039152","chr3R","+","Root",2.44772025189568,1.01250483594243e-06,"Autosome"
"129","FBgn0033395","chr2R","+","Cyp4p2",2.38169337846746,2.76852298261873e-06,"Autosome"
"189","FBgn0039685","chr3R","-","Obp99b",2.3393195923966,3.09437391469586e-39,"Autosome"
"200","FBgn0040732","chr2R","-","CG16926",2.23575556829429,5.24056573566974e-14,"Autosome"
"118","FBgn0032726","chr2L","-","CG10621",2.20455968731825,4.94651173476586e-09,"Autosome"
"190","FBgn0039703","chr3R","-","CG7829",2.12046459588431,4.95220128792568e-07,"Autosome"
