"","id","chr","strand","gene_name","log2FoldChange","padj","group"
"1","FBgn0000024","chr3R","-","Ace",-0.89383166501442,2.98211508863246e-08,"Autosome"
"2","FBgn0000045","chr3L","+","Act79B",-3.58219651123178,1.54994299054156e-09,"Autosome"
"3","FBgn0000097","chr2L","-","aop",-0.37850306510853,6.24233408166481e-06,"Autosome"
"4","FBgn0000116","chr3L","-","Argk1",0.68017390117885,0.00459333448040956,"Autosome"
"5","FBgn0000163","chrX","+","baz",-0.407196013272183,0.00116260033411596,"chrX"
"6","FBgn0000180","chr2L","+","bib",1.19698779886507,0.000557657418853215,"Autosome"
"7","FBgn0000244","chr3R","-","by",-0.302939457900791,0.000154111170701603,"Autosome"
"8","FBgn0000256","chr2L","-","capu",-0.394746988925799,0.000312882051556668,"Autosome"
"9","FBgn0000276","chr3R","+","CecA1",0.564095388008366,0.00137564527613312,"Autosome"
"10","FBgn0000308","chr2L","-","chic",-0.245180823343373,0.0039221484274459,"Autosome"
"11","FBgn0000355","chr3L","+","Cp15",1.98656260079661,0.00274309209312066,"Autosome"
"12","FBgn0000406","chr2L","-","Cyt-b5-r",-2.38795310481727,1.07831786637176e-14,"Autosome"
"13","FBgn0000442","chr2L","-","Pkg21D",-2.2290268846663,9.78550347032042e-26,"Autosome"
"14","FBgn0000479","chrX","+","dnc",-0.465972015216797,3.56980312625036e-08,"chrX"
"15","FBgn0000560","chr3L","+","eg",-2.23429415971825,6.22507093699512e-08,"Autosome"
"16","FBgn0000633","chr2R","+","tei",-3.09715711446993,3.88502020479548e-83,"Autosome"
"17","FBgn0000636","chr2L","+","Fas3",-0.361936671312498,0.000780299278328408,"Autosome"
"18","FBgn0000667","chrX","-","Actn",0.360713320211891,0.00264292089070233,"chrX"
"19","FBgn0000721","chr2L","-","for",-0.257227657542688,0.00841865567345855,"Autosome"
"20","FBgn0000723","chr3R","-","FER",-0.836551172496603,5.17977559591238e-07,"Autosome"
"21","FBgn0000810","chrX","+","fs(1)K10",0.674588805695576,5.05304295352522e-05,"chrX"
"22","FBgn0001083","chrX","-","fw",-2.70771492299721,0.000420840547185492,"chrX"
"23","FBgn0001089","chr2L","-","Gal",-0.843523487304486,0.00665373140969457,"Autosome"
"24","FBgn0001091","chr2R","-","Gapdh1",0.559163782745566,3.28023892964646e-05,"Autosome"
"25","FBgn0001114","chr2L","+","Glt",-1.81489181209084,2.58229546818298e-50,"Autosome"
"26","FBgn0001123","chr2R","+","Galphas",0.520650681985529,0.000374316458594787,"Autosome"
"27","FBgn0001142","chr2L","+","Gs1",-0.367001829612202,0.00083795924329431,"Autosome"
"28","FBgn0001145","chrX","+","Gs2",-0.823709181884734,0.00149752911720816,"chrX"
"29","FBgn0001149","chr3R","-","GstD1",-0.356840949800506,0.00105535054773361,"Autosome"
"30","FBgn0001253","chr3L","+","ImpE1",-1.05744425760766,0.00120405956941059,"Autosome"
"31","FBgn0001254","chr3L","-","ImpE2",-1.80697778260876,1.89245846448432e-09,"Autosome"
"32","FBgn0001258","chr3L","-","Ldh",0.781656347190788,1.00050061020515e-05,"Autosome"
