"id","length","S2_Ctrl1","S2_Auxin1","S2_Ctrl2","S2_Auxin2","Chd1_Ctrl1","Chd1_Auxin1","Chd1_Ctrl2","Chd1_Auxin2"
"FBgn0000003",299,138,280,153,165,424,280,583,310
"FBgn0000008",35867,491,875,532,417,2128,2145,2045,1966
"FBgn0000014",22836,2,2,4,0,3,10,15,10
"FBgn0000015",45025,39,78,47,41,149,169,146,177
"FBgn0000017",32017,1545,2958,1474,1593,3884,4850,4182,5041
"FBgn0000018",1851,450,901,451,445,949,1138,1107,1333
"FBgn0000022",917,7,5,10,2,6,10,7,13
"FBgn0000024",36567,68,110,69,60,680,389,680,412
"FBgn0000028",28826,20,33,11,21,132,118,150,125
"FBgn0000032",2268,119,236,121,118,223,342,310,351
"FBgn0000036",63262,12,44,14,17,105,163,98,171
"FBgn0000037",11665,21,30,19,23,69,88,65,81
"FBgn0000038",6645,3,2,2,0,3,4,4,4
"FBgn0000039",5720,0,2,1,1,1,8,4,5
"FBgn0000042",4539,8033,14918,8575,8912,17932,17084,17637,17496
"FBgn0000043",1780,2536,4631,2336,2460,7043,8690,7124,9240
"FBgn0000044",2411,14,22,7,11,20,31,26,27
"FBgn0000045",1981,7,21,13,8,128,27,77,18
"FBgn0000046",2393,36,59,18,25,68,63,69,71
"FBgn0000047",2209,14,28,17,24,18,56,13,42
"FBgn0000052",4870,303,611,329,272,423,444,489,447
"FBgn0000053",9276,361,811,388,319,1798,1484,1779,1514
"FBgn0000057",2357,114,201,98,98,276,330,319,291
"FBgn0000061",9328,1,1,0,3,16,14,8,17
"FBgn0000063",2558,172,263,125,155,387,395,393,370
"FBgn0000064",7523,294,535,247,258,1298,1423,1459,1600
"FBgn0000071",2669,112,154,86,87,193,186,263,202
"FBgn0000075",3957,3,13,4,7,21,19,12,14
"FBgn0000077",1422,134,240,102,85,272,300,337,379
"FBgn0000078",1606,2,4,8,1,11,5,13,8
"FBgn0000079",1668,6,4,5,3,10,14,18,8
"FBgn0000083",5677,882,1641,991,1051,3677,3951,3619,3835
"FBgn0000084",2070,570,1079,568,468,1542,1260,1536,1387
"FBgn0000092",1155,18,23,16,12,64,94,67,112
"FBgn0000094",435,13,38,17,14,70,105,56,96
"FBgn0000097",22271,1494,2548,1553,1421,7259,6175,7525,5816
"FBgn0000100",1621,1396,2395,1099,1207,1960,2563,2209,2733
"FBgn0000108",48544,42,65,23,20,36,104,52,77
"FBgn0000109",1225,76,128,80,51,175,150,198,204
"FBgn0000114",138435,10,13,5,9,22,35,26,35
"FBgn0000115",1228,166,259,126,137,260,294,330,293
"FBgn0000116",17247,46,99,57,45,262,405,274,432
"FBgn0000117",9246,510,975,434,498,1410,1744,1570,1839
"FBgn0000119",29590,889,1572,807,824,1590,1518,1580,1800
"FBgn0000120",3039,2,1,1,1,3,6,6,6
"FBgn0000121",1676,3,11,4,5,4,8,7,14
"FBgn0000137",2430,4,13,8,6,6,5,7,10
"FBgn0000139",3252,230,437,190,184,560,602,666,684
